#{"t_start": 1683775539.6237364, "env_id": "TurtleBot3tentabot_drl-v00"}
r,l,t
38.134142,174,66.631141
39.245638,134,91.381818
-6.637029,107,111.625221
38.884219,130,135.535728
-3.309016,66,148.753583
38.967595,113,169.682684
38.23914,94,187.807295
38.954706,147,215.1545
39.72914,150,245.763701
39.027264,91,263.274706
38.769006,107,283.563157
-5.396675,84,299.989084
39.510359,105,319.887442
-4.487673,48,329.816905
39.478562,98,348.537941
38.564622,170,379.636635
38.387975,89,396.760114
38.629875,126,421.100602
38.856104,107,441.261606
38.598646,169,472.132674
38.982293,106,491.786152
39.172645,161,521.316601
39.260963,87,538.098644
39.437087,132,562.433285
-1.580596,115,584.003181
-5.305579,35,591.819789
-1.667031,88,609.582357
38.544739,109,630.275541
38.575766,102,649.588967
-7.341939,59,661.086739
38.619252,88,678.095134
39.56638,180,711.294886
-2.176968,66,724.122046
-4.323587,38,732.209005
39.647571,139,757.826006
39.054646,76,772.462279
-2.893515,83,788.342396
39.93742,108,809.611314
-4.876901,78,824.671431
39.440492,147,851.584506
39.298972,117,873.385082
39.558729,122,895.960734
38.839596,121,918.375595
38.796249,134,943.254755
39.488091,106,963.11248
-5.121796,94,981.180133
38.995953,123,1004.519947
38.628386,86,1021.349909
-7.065613,84,1037.549514
-7.213501,39,1045.797764
-0.561599,137,1071.39121
39.131536,95,1089.41994
38.956711,192,1124.161098
39.105426,80,1139.411748
39.141619,95,1157.584109
38.952044,143,1184.560988
38.843133,94,1202.316182
39.155834,106,1222.191104
39.238713,111,1242.916771
-4.255185,54,1253.910788
39.540867,154,1281.936762
39.639131,97,1300.262511
-4.500764,71,1314.004725
38.920205,85,1330.169126
-3.758044,75,1344.78043
38.982597,140,1371.572452
39.644935,109,1392.064043
39.113363,128,1415.86595
38.949041,136,1441.217026
39.285387,115,1462.76027
39.2094,121,1485.124539
38.689006,102,1504.251636
39.067069,144,1530.637716
39.376055,95,1549.281102
38.89564,149,1576.857268
38.87313,200,1613.429413
39.643996,109,1633.635894
-5.105926,58,1645.008389
39.191491,155,1673.656923
39.301081,91,1691.003131
39.407372,138,1716.535721
38.652127,101,1736.587153
39.056382,107,1757.18112
39.864258,95,1774.993501
38.976426,83,1791.053224
-3.673773,58,1802.672828
39.036352,127,1826.041371
-4.444423,58,1837.73182
39.941921,141,1863.732329
38.896437,87,1880.629528
-2.425262,65,1893.752323
40.014504,130,1917.81742
38.60182,118,1940.419348
-4.07809,198,1976.711268
-2.670851,94,1994.513057
38.403376,90,2011.711333
38.642716,198,2047.458075
-1.237049,70,2061.255129
39.772729,123,2084.027229
39.455103,138,2109.399333
38.607657,85,2126.541142
39.561759,206,2163.840806
38.777705,147,2191.217338
40.049781,164,2221.272133
-4.587838,78,2236.305552
38.840598,117,2258.256854
39.626748,133,2282.710426
39.517281,218,2323.501405
39.087725,90,2340.867237
39.008205,167,2371.342534
39.023725,95,2389.458016
39.320713,174,2420.952473
-4.706361,196,2457.142374
39.114503,99,2475.940789
39.245694,139,2502.486625
39.249356,152,2530.484798
39.052603,147,2557.74147
-4.459884,57,2569.108106
39.132826,80,2584.6327
38.949234,85,2600.62797
39.181978,118,2622.436886
-3.660308,44,2631.673852
38.899285,81,2647.100683
38.85853,100,2665.713426
39.09769,102,2685.662836
-4.352605,66,2698.43796
1.291103,121,2720.800081
38.954939,150,2748.273102
38.66449,156,2776.987834
39.547924,211,2814.916949
-5.438643,75,2829.374858
39.22683,189,2864.336726
39.419102,274,2913.454161
38.734761,122,2936.654114
-5.343603,97,2955.21544
38.524016,258,3001.745136
39.88289,105,3021.738492
38.66491,112,3043.812097
39.627177,100,3062.763041
-0.831598,136,3087.697512
39.222289,145,3114.117005
38.875106,130,3138.147599
39.069179,82,3154.02669
39.229984,147,3180.940128
-5.964589,108,3201.207642
39.133628,86,3217.53923
39.81716,141,3244.281576
39.323193,182,3277.76484
38.644075,136,3303.026997
38.480148,71,3317.262635
39.120013,146,3343.933645
38.858673,101,3363.091406
38.856623,102,3381.967375
39.093543,88,3398.962083
38.913961,100,3418.719846
38.068809,78,3433.856168
38.981237,153,3461.969874
-4.99386,65,3474.864777
38.419799,88,3491.461776
-4.180046,75,3505.898808
35.887214,77,3520.938223
-4.469329,62,3533.250991
39.407261,96,3551.528907
38.569507,110,3572.327704
39.406221,111,3592.98459
-9.889764,184,3627.335826
38.762921,80,3642.823918
38.638539,91,3660.121155
0.890434,138,3685.232172
38.170859,82,3700.895695
39.226757,117,3722.64077
39.427411,93,3740.190822
39.119032,90,3757.259797
-2.975507,98,3775.512331
39.017682,97,3794.215046
40.018809,92,3812.580794
-1.887604,123,3835.680753
38.317537,124,3858.502349
-6.235556,36,3866.331343
39.147066,102,3885.490121
39.083043,81,3901.082964
-4.957279,104,3920.81925
39.14709,102,3940.211859
39.265095,80,3955.807027
38.999428,106,3975.605469
39.692275,86,3992.715326
38.984278,86,4009.215477
-7.203551,74,4023.588899
38.537034,124,4046.395974
-4.416907,42,4055.074271
38.975282,87,4071.63792
39.416332,127,4095.154831
0.225662,151,4122.951728
38.824207,171,4154.168769
-4.016265,83,4170.549776
39.566644,130,4195.44896
39.050478,155,4224.187474
39.517357,143,4250.710301
-6.305191,110,4271.33862
-3.990066,56,4282.728642
-5.345934,95,4300.72753
0.73097,94,4318.517308
38.94954,170,4349.921268
39.031415,92,4368.249621
39.707734,196,4403.908724
38.702528,126,4427.140552
39.906401,100,4445.899676
38.969049,124,4468.773046
39.738783,105,4488.627913
39.242085,73,4502.90467
-3.862276,49,4513.024371
38.705744,151,4540.823855
38.727127,130,4565.840909
39.312892,119,4587.894553
-1.299611,112,4609.0929
38.822457,99,4627.769236
40.590375,190,4662.118405
39.685695,94,4679.885691
-4.635062,100,4698.629774
-0.594974,90,4715.894671
39.612393,118,4737.985164
38.297758,104,4758.543266
39.135017,88,4775.115874
-4.610067,90,4792.010655
38.886576,96,4809.981041
38.323006,96,4828.239243
39.481279,116,4849.945735
-1.510402,143,4876.281016
38.94181,169,4907.228178
39.104421,82,4922.874996
-2.617446,90,4941.060594
38.624412,157,4969.529696
38.921808,83,4985.326398
39.85933,97,5003.487798
39.793874,112,5024.168766
-3.577366,58,5035.800206
38.640921,82,5051.459261
39.196619,96,5069.458241
39.223673,156,5097.826093
38.495194,96,5117.056887
-4.788651,82,5133.054852
39.334015,117,5154.884356
38.727505,98,5173.362521
39.221053,97,5191.556032
38.597109,108,5211.751365
-1.356587,58,5223.199161
38.683971,83,5239.368458
39.093908,129,5263.58841
-4.054842,91,5280.849851
39.22327,158,5310.468635
38.437417,91,5328.037563
38.55676,89,5345.008589
39.613579,117,5366.647753
39.473715,124,5389.731723
-0.556208,91,5407.228022
39.202156,117,5429.00901
38.691178,89,5445.790596
38.141521,109,5466.036169
-2.293403,66,5479.152237
39.187417,104,5499.698072
-5.758178,72,5513.784472
39.322233,92,5531.208766
-1.938538,112,5552.319269
38.930611,84,5568.235157
39.500494,193,5603.219049
38.443422,75,5617.796433
-7.251966,77,5632.518961
39.467458,126,5655.948801
-5.476996,77,5670.934054
39.419795,115,5693.387556
38.850143,93,5711.041631
39.399443,92,5728.527001
38.933195,122,5750.944066
-3.428246,63,5763.531388
-5.033687,40,5772.012821
38.959824,108,5792.13896
39.447985,108,5812.636836
