#{"t_start": 1681480281.226133, "env_id": "TurtleBot3tentabot_drl-v00"}
r,l,t
-11.238158,44,59.487353
-11.123914,26,65.30455
-9.967673,26,71.246368
-23.191122,278,120.685579
-10.770024,35,128.143245
-11.596034,21,133.23842
-19.316697,71,147.195855
-12.486611,33,154.197224
-14.279818,33,161.382164
-11.1204,18,166.028772
-18.414245,76,180.379892
-12.082987,43,189.363864
-9.750831,35,196.965445
-15.412966,51,207.549628
-11.068014,65,220.118328
-16.605239,43,229.089418
-15.157242,34,236.279743
-15.087697,50,246.315862
-14.292279,26,256.578418
-12.490428,50,266.665763
-11.180357,59,278.417847
-14.247303,35,285.712557
-11.755245,19,290.330803
-11.085065,18,295.098058
-10.304879,17,299.567077
-15.533917,113,320.248811
-13.326974,37,328.175287
-9.14294,15,332.055123
-10.575944,35,339.424136
-7.672702,125,362.234579
-11.606486,78,377.054431
-10.140568,49,387.06009
-13.101388,35,394.408148
-10.3474,15,398.448134
-27.891401,66,411.233151
-9.746913,76,426.309517
-10.25608,79,441.313803
-11.396781,39,449.678418
-15.437947,53,460.822461
-12.142238,41,469.101803
-6.20114,107,489.298081
-10.009078,34,496.49469
-11.670773,127,519.884301
26.648381,113,540.996086
-10.267599,52,551.34713
-10.784777,27,557.34527
-14.297824,102,576.064048
-16.170943,66,588.674425
-12.244272,31,595.627073
-29.422685,102,614.953577
-10.589041,30,621.493424
-11.459277,13,625.23386
-10.755034,19,629.996726
-14.978122,43,638.946523
-9.447836,45,648.222563
-26.449101,107,668.582381
-14.206222,41,676.953384
-11.621755,29,683.498339
-11.240758,75,698.094128
-13.50481,39,706.421493
-10.556536,26,712.29819
-8.467586,78,727.844522
-9.507381,31,734.635748
-10.608821,30,741.168727
-12.60586,34,748.316969
-20.470884,81,763.513594
-12.884454,21,768.452415
-12.121995,27,774.383812
-13.283622,33,781.600195
-10.713097,32,788.428773
-8.155872,61,800.486161
-11.19882,29,806.763119
-13.285786,86,822.930705
-19.985586,106,842.604341
-27.109646,143,870.003511
-11.528983,15,874.089944
-8.089255,62,886.676739
-12.212438,35,894.004
-15.052725,43,902.821812
-27.073473,179,935.259579
-13.277472,74,949.359015
-9.255038,25,955.290579
-11.507221,44,964.364367
-11.970702,37,972.165326
-10.813188,18,976.522264
-15.154117,30,982.933221
-30.118569,74,996.912903
-11.343944,14,1000.649174
-11.018692,47,1010.368921
-11.625795,23,1015.881265
-13.147724,27,1021.909794
-10.578436,47,1031.718458
-23.254677,181,1065.486911
-22.97431,98,1084.066138
-15.049559,154,1112.231605
-21.319717,112,1133.250158
-10.644839,22,1138.721648
-11.427771,21,1143.610397
-8.686075,40,1152.282178
-9.25094,26,1158.332441
-16.397303,45,1167.393904
-15.107711,157,1195.935188
-9.165211,22,1201.117867
-9.673947,85,1217.112889
-12.645743,19,1221.651018
-9.698688,11,1224.92812
-10.880832,24,1230.374607
-13.026321,61,1242.121198
-15.438031,64,1255.68906
-14.777725,58,1267.090856
-10.586965,18,1271.54375
-9.169974,63,1283.703903
25.678419,114,1304.956365
-12.635523,55,1315.831301
-14.795517,50,1326.038055
-11.780393,51,1336.592221
-11.414089,25,1342.197023
-18.245616,81,1357.50345
-10.825893,21,1362.435247
-11.136069,108,1382.963697
30.169688,49,1392.848799
-26.236136,149,1419.906241
-20.254244,37,1427.564569
-17.919886,73,1441.470754
-14.273211,79,1457.084295
-11.157696,15,1461.064385
-12.543941,46,1470.438878
-11.938098,128,1494.221417
-8.128604,22,1499.540341
-10.471055,27,1505.513502
-19.295217,86,1521.743614
-16.519019,174,1553.238257
-9.490509,23,1558.737574
-10.088193,70,1572.455053
30.2994,118,1595.328485
32.362191,37,1603.163467
-18.406814,113,1624.1832
-12.173587,69,1637.309655
-14.629013,152,1665.912492
-9.245137,15,1670.00065
30.832405,26,1676.256553
-6.181926,124,1699.889683
-13.254544,39,1708.082222
-9.518269,18,1712.565778
-11.441039,61,1724.339691
22.147618,232,1766.280748
-11.228632,24,1771.873573
-18.934054,59,1783.336091
-13.110252,42,1791.912866
-12.584068,22,1797.181971
-11.454343,86,1813.588709
-12.729518,27,1819.537673
-12.898092,88,1836.162193
-13.45481,68,1849.822577
-10.654031,11,1853.036797
-26.951644,242,1896.343675
-11.890819,19,1900.886247
33.192918,138,1926.508089
-10.748529,22,1931.851393
-15.634642,74,1946.009306
-13.977006,32,1954.403341
-11.847334,31,1961.316272
-33.634644,259,2007.710386
-14.643877,18,2012.15048
-10.329613,19,2016.821888
-11.009506,178,2050.178289
-21.804781,305,2104.42733
-12.18179,59,2115.901989
-11.994936,75,2130.132681
-10.579627,62,2142.382236
-21.874946,86,2158.832337
-24.717913,136,2183.79705
-13.298128,53,2194.498907
-9.940094,39,2202.793298
-12.436652,19,2207.394786
-11.317602,18,2211.860546
-9.245784,45,2220.989876
-15.272662,114,2242.956016
-18.966473,82,2258.756413
-21.885088,131,2283.207492
-10.215256,39,2291.472942
-18.214757,39,2299.461508
-13.129374,62,2311.868929
-10.382455,31,2318.656699
-9.355268,41,2327.178606
16.961216,178,2359.73467
-16.354082,71,2373.485671
-12.266651,30,2379.962232
-11.950137,25,2385.724213
-15.451993,57,2397.150111
-20.542483,94,2415.048507
-11.396292,19,2420.434632
-11.462218,51,2430.638354
-17.840514,219,2469.714867
-12.634411,17,2474.212425
-14.636834,102,2493.481159
-21.093879,53,2503.834297
-11.15983,25,2509.446086
34.27877,90,2526.83715
-8.337864,51,2537.001455
-18.064576,85,2552.838999
-13.672126,63,2564.869565
-17.618815,248,2610.446575
-10.392852,21,2615.306952
-12.941761,35,2622.550798
-9.806165,98,2640.816715
-8.133683,47,2650.353579
30.521516,111,2671.260915
-9.804233,63,2683.815903
-13.345601,29,2690.193257
-11.498651,19,2694.715078
-13.752823,37,2702.397482
-19.333298,110,2723.084696
-11.1348,20,2728.061028
-11.709658,17,2732.373585
-13.650382,67,2745.362576
30.159274,120,2767.590239
-19.336661,61,2779.361948
-10.272817,90,2796.666383
-17.045306,122,2820.402295
-12.563607,32,2827.521395
-10.173245,45,2837.006311
21.241467,90,2854.066929
30.183934,89,2870.683757
-20.52856,121,2893.229511
-12.866129,32,2900.169247
-9.098872,36,2908.224339
-9.159883,98,2927.275872
28.709369,52,2937.466947
-12.938808,93,2954.488911
22.755594,69,2968.212234
-10.802633,22,2973.629647
-12.851665,42,2982.268635
-10.679108,15,2986.466096
32.327469,265,3034.472076
-9.469134,45,3043.624511
-12.916632,25,3049.169265
-11.67934,19,3053.74328
-13.581783,49,3063.614688
-6.402118,149,3090.747272
-8.93661,25,3096.50409
-20.15295,48,3106.129012
-17.201319,100,3124.339556
-12.711475,57,3135.604673
-14.447191,30,3142.02911
-18.731968,58,3153.191715
-12.220246,58,3164.355595
-11.152197,45,3173.49897
-12.492493,97,3192.025809
-24.527022,220,3232.302342
-8.923052,103,3251.904721
-11.310687,39,3259.900188
-9.605273,239,3302.410668
-10.88349,152,3329.969121
-11.158626,25,3335.590838
-10.041961,167,3366.016424
-10.784083,17,3370.241642
-15.611136,216,3409.768885
-11.266519,19,3414.382303
-7.632935,42,3423.223256
-11.064681,88,3440.14271
-12.665325,29,3446.510475
-12.888588,236,3488.875142
-14.482328,157,3517.46435
-6.27732,114,3539.013598
-13.986095,425,3615.132374
-8.93889,32,3621.987389
-24.126112,405,3693.548801
26.938474,94,3711.63865
-13.356249,73,3725.883131
-18.938171,366,3791.682952
20.873667,184,3825.208684
-10.218357,181,3858.141541
-7.861978,205,3895.236492
-8.754164,30,3901.830353
-11.359069,22,3906.874873
-15.554485,49,3916.705818
-13.360907,144,3944.328182
-15.873842,39,3952.35832
-11.545728,71,3966.008949
31.953893,73,3980.51547
-9.789081,58,3992.002064
-8.74791,34,3999.630271
-12.285256,35,4006.998777
-17.309227,58,4018.362067
-11.283906,104,4037.708337
-19.781543,133,4062.131068
-14.980535,135,4086.409026
-13.078611,36,4093.934666
-9.666217,152,4121.698197
-13.182842,37,4130.385709
-8.430275,41,4138.952938
-11.463152,21,4143.838668
-11.048679,25,4149.37169
-11.100874,93,4166.71466
-9.898391,46,4175.95736
-11.466074,21,4180.912305
28.644888,147,4208.170352
-11.43837,119,4230.466699
-10.405676,81,4245.899192
-14.628108,131,4269.888948
-8.842588,165,4299.852412
-8.40944,39,4307.912797
30.741636,168,4339.149109
-9.908358,26,4345.186017
-14.588509,323,4403.158916
33.010564,135,4428.458508
-11.086562,109,4448.572058
-12.164248,27,4454.4694
27.390475,120,4476.952527
-20.082477,453,4557.502324
-10.939289,26,4563.224332
-15.48206,70,4576.449178
33.353642,91,4593.97082
-9.710138,34,4601.374897
37.258693,47,4610.758934
-7.824906,125,4634.048642
-12.098607,37,4641.650039
-6.12086,142,4668.280831
-23.390611,175,4700.829864
37.104726,227,4742.125799
-9.991538,74,4756.160379
-19.275726,151,4783.391318
