0.000100 0.000000 0.000000,0.002200 0.000000 0.000000,0.004300 0.000000 0.000000,0.006400 0.000000 0.000000,0.008500 0.000000 0.000000,0.010600 0.000000 0.000000,0.012700 0.000000 0.000000,0.014800 0.000000 0.000000,0.016900 0.000000 0.000000,0.019000 0.000000 0.000000,0.021100 0.000000 0.000000,0.023200 0.000000 0.000000,0.025300 0.000000 0.000000,0.027400 0.000000 0.000000,0.029500 0.000000 0.000000,0.031600 0.000000 0.000000,0.033700 0.000000 0.000000,0.035800 0.000000 0.000000,0.037900 0.000000 0.000000,0.040000 0.000000 0.000000,0.042100 0.000000 0.000000,0.044200 0.000000 0.000000,0.046300 0.000000 0.000000,0.048400 0.000000 0.000000,0.050500 0.000000 0.000000,0.052600 0.000000 0.000000,0.054700 0.000000 0.000000,0.056800 0.000000 0.000000,0.058900 0.000000 0.000000,0.060100 0.000000 0.000000,
0.000100 0.000000 0.000000,0.002198 0.000072 0.000000,0.004289 0.000270 0.000000,0.006364 0.000593 0.000000,0.008415 0.001039 0.000000,0.010436 0.001608 0.000000,0.012420 0.002297 0.000000,0.014358 0.003103 0.000000,0.016245 0.004025 0.000000,0.018073 0.005058 0.000000,0.019836 0.006198 0.000000,0.021527 0.007442 0.000000,0.023141 0.008786 0.000000,0.024671 0.010224 0.000000,0.026112 0.011751 0.000000,0.027459 0.013361 0.000000,0.028707 0.015050 0.000000,0.029852 0.016810 0.000000,0.030889 0.018636 0.000000,0.031815 0.020521 0.000000,0.032625 0.022457 0.000000,0.033319 0.024439 0.000000,0.033892 0.026459 0.000000,0.034343 0.028510 0.000000,0.034670 0.030584 0.000000,0.034873 0.032674 0.000000,0.034949 0.034772 0.000000,0.034900 0.036871 0.000000,0.034725 0.038964 0.000000,0.034569 0.040153 0.000000,
0.000100 0.000001 0.000000,0.002194 0.000144 0.000000,0.004255 0.000538 0.000000,0.006255 0.001175 0.000000,0.008164 0.002047 0.000000,0.009955 0.003142 0.000000,0.011602 0.004443 0.000000,0.013081 0.005931 0.000000,0.014371 0.007587 0.000000,0.015454 0.009384 0.000000,0.016314 0.011299 0.000000,0.016939 0.013302 0.000000,0.017319 0.015366 0.000000,0.017450 0.017461 0.000000,0.017329 0.019556 0.000000,0.016958 0.021622 0.000000,0.016342 0.023628 0.000000,0.015490 0.025547 0.000000,0.014415 0.027349 0.000000,0.013132 0.029010 0.000000,0.011660 0.030505 0.000000,0.010018 0.031813 0.000000,0.008233 0.032916 0.000000,0.006328 0.033797 0.000000,0.004331 0.034443 0.000000,0.002271 0.034845 0.000000,0.000178 0.034998 0.000000,-0.001919 0.034900 0.000000,-0.003988 0.034551 0.000000,-0.005147 0.034241 0.000000,
0.000100 0.000001 0.000000,0.002186 0.000216 0.000000,0.004200 0.000802 0.000000,0.006076 0.001738 0.000000,0.007755 0.002995 0.000000,0.009181 0.004533 0.000000,0.010309 0.006300 0.000000,0.011103 0.008242 0.000000,0.011536 0.010294 0.000000,0.011594 0.012390 0.000000,0.011277 0.014463 0.000000,0.010593 0.016446 0.000000,0.009565 0.018274 0.000000,0.008227 0.019889 0.000000,0.006621 0.021238 0.000000,0.004800 0.022277 0.000000,0.002822 0.022974 0.000000,0.000751 0.023306 0.000000,-0.001345 0.023261 0.000000,-0.003400 0.022842 0.000000,-0.005347 0.022062 0.000000,-0.007122 0.020945 0.000000,-0.008669 0.019529 0.000000,-0.009938 0.017859 0.000000,-0.010886 0.015989 0.000000,-0.011485 0.013979 0.000000,-0.011714 0.011894 0.000000,-0.011567 0.009802 0.000000,-0.011047 0.007771 0.000000,-0.010589 0.006662 0.000000,
0.000100 0.000001 0.000000,0.002175 0.000288 0.000000,0.004123 0.001059 0.000000,0.005832 0.002271 0.000000,0.007203 0.003855 0.000000,0.008159 0.005720 0.000000,0.008644 0.007758 0.000000,0.008630 0.009853 0.000000,0.008119 0.011884 0.000000,0.007140 0.013736 0.000000,0.005749 0.015303 0.000000,0.004025 0.016493 0.000000,0.002068 0.017240 0.000000,-0.000011 0.017500 0.000000,-0.002092 0.017258 0.000000,-0.004056 0.016529 0.000000,-0.005790 0.015354 0.000000,-0.007196 0.013800 0.000000,-0.008191 0.011957 0.000000,-0.008720 0.009930 0.000000,-0.008752 0.007835 0.000000,-0.008285 0.005793 0.000000,-0.007346 0.003920 0.000000,-0.005989 0.002324 0.000000,-0.004291 0.001097 0.000000,-0.002351 0.000308 0.000000,-0.000278 0.000003 0.000000,0.001808 0.000199 0.000000,0.003787 0.000886 0.000000,0.004826 0.001484 0.000000,
0.000100 0.000001 0.000000,0.002161 0.000358 0.000000,0.004025 0.001308 0.000000,0.005525 0.002767 0.000000,0.006527 0.004604 0.000000,0.006942 0.006654 0.000000,0.006731 0.008736 0.000000,0.005915 0.010662 0.000000,0.004567 0.012262 0.000000,0.002805 0.013391 0.000000,0.000789 0.013949 0.000000,-0.001302 0.013887 0.000000,-0.003281 0.013209 0.000000,-0.004972 0.011977 0.000000,-0.006223 0.010300 0.000000,-0.006923 0.008329 0.000000,-0.007008 0.006238 0.000000,-0.006473 0.004216 0.000000,-0.005363 0.002442 0.000000,-0.003779 0.001076 0.000000,-0.001861 0.000238 0.000000,0.000218 0.000005 0.000000,0.002273 0.000396 0.000000,0.004121 0.001378 0.000000,0.005596 0.002861 0.000000,0.006567 0.004715 0.000000,0.006946 0.006772 0.000000,0.006701 0.008850 0.000000,0.005853 0.010762 0.000000,0.005125 0.011714 0.000000,
0.000100 0.000002 0.000000,0.002145 0.000428 0.000000,0.003908 0.001548 0.000000,0.005164 0.003217 0.000000,0.005751 0.005221 0.000000,0.005595 0.007304 0.000000,0.004715 0.009198 0.000000,0.003224 0.010661 0.000000,0.001313 0.011505 0.000000,-0.000772 0.011622 0.000000,-0.002765 0.010996 0.000000,-0.004410 0.009709 0.000000,-0.005496 0.007925 0.000000,-0.005883 0.005872 0.000000,-0.005523 0.003815 0.000000,-0.004461 0.002016 0.000000,-0.002834 0.000707 0.000000,-0.000849 0.000055 0.000000,0.001237 0.000144 0.000000,0.003159 0.000962 0.000000,0.004669 0.002405 0.000000,0.005575 0.004287 0.000000,0.005759 0.006368 0.000000,0.005198 0.008380 0.000000,0.003965 0.010065 0.000000,0.002217 0.011208 0.000000,0.000178 0.011662 0.000000,-0.001890 0.011369 0.000000,-0.003722 0.010366 0.000000,-0.004571 0.009520 0.000000,
0.000100 0.000002 0.000000,0.002125 0.000498 0.000000,0.003772 0.001776 0.000000,0.004754 0.003614 0.000000,0.004902 0.005694 0.000000,0.004188 0.007652 0.000000,0.002738 0.009150 0.000000,0.000804 0.009926 0.000000,-0.001279 0.009846 0.000000,-0.003149 0.008924 0.000000,-0.004480 0.007319 0.000000,-0.005040 0.005312 0.000000,-0.004734 0.003250 0.000000,-0.003613 0.001492 0.000000,-0.001873 0.000344 0.000000,0.000184 0.000005 0.000000,0.002200 0.000535 0.000000,0.003825 0.001840 0.000000,0.004777 0.003695 0.000000,0.004889 0.005777 0.000000,0.004143 0.007723 0.000000,0.002668 0.009196 0.000000,0.000721 0.009940 0.000000,-0.001361 0.009825 0.000000,-0.003214 0.008871 0.000000,-0.004518 0.007245 0.000000,-0.005045 0.005228 0.000000,-0.004704 0.003171 0.000000,-0.003554 0.001432 0.000000,-0.002605 0.000702 0.000000,
0.000100 -0.000000 0.000000,0.002198 -0.000072 0.000000,0.004289 -0.000270 0.000000,0.006364 -0.000593 0.000000,0.008415 -0.001039 0.000000,0.010436 -0.001608 0.000000,0.012420 -0.002297 0.000000,0.014358 -0.003103 0.000000,0.016245 -0.004025 0.000000,0.018073 -0.005058 0.000000,0.019836 -0.006198 0.000000,0.021527 -0.007442 0.000000,0.023141 -0.008786 0.000000,0.024671 -0.010224 0.000000,0.026112 -0.011751 0.000000,0.027459 -0.013361 0.000000,0.028707 -0.015050 0.000000,0.029852 -0.016810 0.000000,0.030889 -0.018636 0.000000,0.031815 -0.020521 0.000000,0.032625 -0.022457 0.000000,0.033319 -0.024439 0.000000,0.033892 -0.026459 0.000000,0.034343 -0.028510 0.000000,0.034670 -0.030584 0.000000,0.034873 -0.032674 0.000000,0.034949 -0.034772 0.000000,0.034900 -0.036871 0.000000,0.034725 -0.038964 0.000000,0.034569 -0.040153 0.000000,
0.000100 -0.000001 0.000000,0.002194 -0.000144 0.000000,0.004255 -0.000538 0.000000,0.006255 -0.001175 0.000000,0.008164 -0.002047 0.000000,0.009955 -0.003142 0.000000,0.011602 -0.004443 0.000000,0.013081 -0.005931 0.000000,0.014371 -0.007587 0.000000,0.015454 -0.009384 0.000000,0.016314 -0.011299 0.000000,0.016939 -0.013302 0.000000,0.017319 -0.015366 0.000000,0.017450 -0.017461 0.000000,0.017329 -0.019556 0.000000,0.016958 -0.021622 0.000000,0.016342 -0.023628 0.000000,0.015490 -0.025547 0.000000,0.014415 -0.027349 0.000000,0.013132 -0.029010 0.000000,0.011660 -0.030505 0.000000,0.010018 -0.031813 0.000000,0.008233 -0.032916 0.000000,0.006328 -0.033797 0.000000,0.004331 -0.034443 0.000000,0.002271 -0.034845 0.000000,0.000178 -0.034998 0.000000,-0.001919 -0.034900 0.000000,-0.003988 -0.034551 0.000000,-0.005147 -0.034241 0.000000,
