#{"t_start": 1681459983.7116492, "env_id": "TurtleBot3tentabot_drl-v00"}
r,l,t
-6.734999,57,28.178401
38.86917,113,49.248334
-6.785814,55,60.363739
39.034714,100,79.029037
-10.168989,23,84.454175
35.888442,95,102.584819
32.650909,106,122.531457
38.34177,91,139.767296
-6.311454,61,151.85938
-11.706337,113,173.076865
-9.954799,68,186.482888
38.959426,90,203.633789
-7.428274,35,212.305993
36.120253,109,232.697592
38.377977,97,250.978215
39.502384,100,269.871313
39.60051,104,289.366597
-6.840309,71,303.325253
36.587397,107,323.271978
38.227114,98,341.757697
32.587646,148,368.770228
38.699178,92,386.032239
-7.356216,35,393.595234
-5.23616,54,405.517677
32.589288,134,430.730801
-8.216099,55,441.72165
38.685029,107,461.7198
38.777129,83,477.810116
-6.223065,101,496.969698
33.127161,124,520.048897
-7.475273,48,529.765132
37.448034,92,547.223965
38.553723,126,570.60059
38.006566,96,588.869776
38.467954,92,607.552872
36.990566,93,624.998712
38.856184,91,642.163787
28.360195,150,669.628592
-9.480917,91,686.903846
39.120896,94,704.81033
-7.599474,46,714.406581
39.026547,94,732.164811
-4.639218,50,742.219723
38.400295,105,762.286542
35.749765,94,780.094572
37.175757,101,799.622301
-5.145774,55,810.651209
38.408377,89,827.603529
38.792744,106,847.457186
37.174132,109,867.838283
28.006821,119,890.247067
32.112135,118,912.289951
37.259718,90,929.17387
37.164811,100,948.252926
-5.723723,84,964.334674
-11.988552,38,972.511031
38.272778,92,990.815923
36.987035,98,1009.71092
36.273417,101,1028.649083
-5.720483,59,1040.3609
-8.448391,63,1052.948832
39.039446,102,1072.184444
35.17476,99,1090.963316
38.287241,93,1108.818703
-5.164744,38,1117.038862
38.112113,97,1135.360744
38.992154,111,1155.905512
38.848998,102,1175.910711
-5.477878,47,1185.576884
-8.603957,24,1191.41907
39.040421,76,1206.225155
37.725204,98,1224.609427
27.749052,108,1244.677577
38.541778,102,1263.936584
-9.468701,54,1274.7202
34.551675,125,1297.673715
-5.639626,47,1307.448382
39.347945,84,1323.418936
-10.62997,66,1336.841433
39.092473,91,1354.311016
33.549601,93,1372.735148
-2.25493,76,1387.585257
34.024708,109,1408.05367
35.31138,87,1424.690869
35.449228,120,1447.061853
32.347005,113,1468.04511
38.777031,88,1484.901502
39.09922,103,1504.130375
37.360527,92,1521.636708
38.952808,99,1540.499434
37.932761,94,1559.091823
-5.883315,84,1575.152041
33.285497,133,1599.561747
-5.053281,54,1610.490736
38.629608,96,1628.883152
38.951848,87,1645.307294
-6.793061,40,1653.788469
38.08451,91,1671.104722
27.594504,129,1695.011389
35.655793,149,1722.258612
38.237857,89,1739.179785
30.94457,110,1760.743059
31.988993,107,1780.910227
36.7557,109,1801.592123
32.648224,122,1824.127006
25.302271,105,1843.881839
38.364044,95,1861.870671
38.478501,98,1880.370807
-8.81836,59,1892.501688
39.113975,99,1911.270621
38.64472,83,1927.130213
36.899078,86,1944.474094
-9.022934,78,1959.813634
37.777105,102,1978.961272
-4.975984,51,1989.196849
26.031019,143,2015.538011
-7.354877,42,2024.194631
38.936675,96,2042.497384
31.953275,95,2060.243256
-10.660122,59,2072.002897
31.388616,129,2096.046454
38.382236,82,2111.808839
39.398286,103,2132.264044
34.515377,129,2156.114833
32.404057,113,2177.148703
38.998522,107,2196.966955
-11.0868,52,2207.779208
36.557592,136,2232.97313
33.109083,125,2256.405242
-7.683713,54,2267.15553
33.35496,80,2282.807268
36.475179,95,2300.785553
38.041563,80,2317.128313
-9.316053,78,2332.192907
38.023591,89,2349.115898
32.31813,130,2372.797513
38.769025,105,2392.384775
36.999862,89,2409.403137
35.533217,73,2423.655206
38.305651,84,2439.755488
34.342995,122,2462.225957
38.618919,96,2480.634377
37.892561,123,2504.395282
-6.730131,54,2515.569424
38.265931,97,2533.673822
-7.805658,56,2545.059287
-14.66704,66,2558.094757
38.361236,88,2574.790299
36.066164,87,2591.283503
-3.277264,59,2603.004905
37.975133,90,2620.310999
36.243646,143,2646.962944
38.033477,82,2662.719191
24.90068,133,2687.376616
34.785914,121,2710.500856
29.595633,95,2728.470159
38.713331,88,2745.586308
37.813221,88,2762.254476
30.969522,143,2788.749836
38.217277,108,2808.842196
-11.606604,39,2817.232096
-8.986931,50,2827.310891
37.502252,97,2845.651084
38.658578,84,2861.771605
33.149599,111,2882.34301
38.21027,106,2903.157254
33.321325,112,2923.861235
38.673319,89,2940.942941
-6.284599,55,2952.021956
38.520326,91,2969.227407
32.747738,83,2985.359532
35.548803,115,3006.753025
37.776571,71,3020.789242
38.429911,81,3036.295119
