#{"t_start": 1681438557.867591, "env_id": "TurtleBot3tentabot_drl-v00"}
r,l,t
-16.889507,59,45.223621
-12.269435,25,50.798165
-13.137987,53,60.952862
-13.036243,28,66.987212
-12.04486,24,72.511335
-17.986943,84,88.297162
-15.506718,126,111.347488
-11.862341,22,116.335564
-15.525577,32,123.100999
-11.931547,26,128.880824
-11.086517,23,134.118584
-11.141739,22,139.427354
-9.826332,18,143.804699
-11.714697,22,148.806306
-10.613258,22,153.828254
-14.78696,38,161.796921
-12.172328,17,166.003859
-12.686788,30,172.339473
31.119783,30,178.856989
-11.394779,33,185.768112
-14.769633,125,208.146727
-12.365814,57,219.320858
-13.655476,89,238.41582
-15.025237,27,244.254027
-13.911895,35,251.503292
-11.410064,34,258.554063
-11.747672,19,263.099489
-11.713739,23,268.576002
-10.308954,25,274.150979
-10.716853,23,279.35145
-11.509987,22,284.445158
-24.287703,129,307.611861
-12.49005,21,312.546209
-13.034743,31,319.247199
-12.70218,29,325.702923
-10.860176,17,330.158592
-17.927369,72,343.442191
-11.451301,27,349.472516
-18.470104,78,363.905517
-18.70393,54,374.560467
-12.713541,36,382.202475
-15.053701,42,390.513833
-11.829504,24,395.910065
-10.725768,23,401.187888
-12.071698,106,421.269146
-12.652681,28,427.274831
32.820255,55,437.977854
-24.104452,66,451.189097
-14.401056,23,456.463962
-11.739573,15,460.332547
-15.294176,34,467.643539
29.083736,122,489.971905
-11.913932,22,495.196639
-17.785021,67,508.453071
-19.502948,69,521.583696
-15.628718,161,550.49641
-10.54948,83,566.259072
-12.22283,33,573.512348
-10.152367,18,577.95567
-13.094519,33,584.922557
-11.210457,18,589.505258
-11.727102,26,595.241744
-15.343428,72,609.362164
-12.429239,37,616.979046
-13.722383,37,624.709744
-13.957279,47,634.191258
-11.416317,33,642.177581
-13.116022,19,646.680922
-8.985237,26,652.410014
-12.065863,34,659.481793
-14.281428,59,670.926483
-23.119504,77,685.430526
-10.459251,31,691.947525
-14.437199,83,707.422547
-20.179983,175,738.807941
-9.126126,52,749.428323
-13.725604,37,757.135034
-12.341845,59,768.741585
-18.666683,54,779.210325
-12.396967,46,788.361189
-10.557118,105,807.787209
-21.659012,141,833.087206
-11.185427,41,842.084808
-17.234846,103,860.736849
-12.523541,25,866.425697
-11.686041,22,871.434124
-13.928852,38,879.139585
-11.599378,18,883.772186
-12.602472,33,890.847707
-22.11735,85,906.416932
-11.140283,29,912.70608
23.447385,131,936.850362
-10.745252,27,942.948492
-11.27997,39,951.09928
-11.544876,22,956.392957
31.90136,98,974.209722
28.654686,67,987.434266
-26.248658,70,1000.524399
30.227834,66,1013.005676
-12.83252,23,1018.485255
-8.525897,200,1054.967718
-10.907289,13,1058.522004
-11.641858,19,1063.015591
-13.416216,71,1076.342927
-14.617378,57,1087.568428
-10.787012,27,1093.456845
-7.626384,55,1104.359406
-11.203426,27,1110.335966
-8.718622,27,1116.258102
-14.757719,111,1136.708129
