#{"t_start": 1683727379.8751528, "env_id": "TurtleBot3tentabot_drl-v00"}
r,l,t
39.069624,191,50.138227
40.382857,214,88.344828
38.635147,97,106.469488
39.86856,139,131.962015
39.472587,98,150.516432
39.385387,126,173.959523
-4.552817,52,184.357113
39.16341,96,204.635608
38.826812,127,228.139951
38.533161,88,244.699564
39.108238,144,271.205478
39.427232,100,290.083134
39.79015,142,315.958208
39.334917,114,336.975784
0.043181,86,353.409176
38.704435,159,382.141732
-4.088137,54,393.810667
39.734021,127,417.254534
-0.560299,148,444.383246
-3.934192,80,459.576734
38.590323,121,481.460477
-5.682321,66,494.43257
-1.411991,114,515.521165
39.509029,145,542.00237
38.391423,122,564.406899
-3.613289,84,581.418522
39.38944,123,604.430438
-6.389755,72,618.055162
38.707758,142,643.842953
39.495879,123,666.336833
-8.6352,35,673.539099
39.093622,129,697.28458
38.779559,150,724.240674
-5.935123,57,735.441108
38.972454,130,759.197961
-5.414778,58,771.813471
38.407396,80,787.111639
39.88816,135,812.064831
-3.630116,43,820.976499
0.25652,152,848.282176
39.152626,116,869.762291
39.678042,137,894.664567
-6.717444,84,910.665565
39.92804,104,929.930508
30,1,931.548801
39.92368,166,962.423549
-3.737609,104,981.76922
38.803585,96,999.944219
38.567028,125,1022.686427
38.770823,115,1044.148362
38.889113,91,1061.213924
38.33721,116,1082.481106
38.541384,104,1101.748544
38.560087,131,1125.704765
39.088207,98,1144.949981
-4.525923,85,1161.006655
38.686075,95,1179.022192
-4.700964,80,1194.474536
38.87663,113,1215.40112
39.061002,91,1232.568394
-1.790011,80,1247.817713
-0.977177,91,1264.937471
38.662652,85,1281.313786
-8.041154,65,1293.844447
38.399108,130,1317.725139
38.911536,87,1335.051823
-4.889771,78,1350.047733
40.07349,112,1370.656201
39.767714,199,1406.648731
38.930396,103,1425.702427
-1.913182,119,1447.640863
39.559129,117,1469.29104
0.423179,151,1496.859018
38.738797,102,1516.695362
0.293241,146,1543.230202
38.890215,106,1562.752597
39.525191,86,1578.933411
-3.744341,73,1592.822165
38.655108,96,1610.991357
-1.612786,79,1626.112197
39.607694,121,1648.243342
38.877657,179,1680.672413
39.733839,116,1703.124331
38.921178,110,1723.420659
-6.095078,68,1736.525541
38.862155,83,1752.330308
38.994362,114,1773.472451
-3.913372,56,1784.757809
39.227421,123,1807.41726
38.704855,109,1827.661056
39.624885,174,1859.235171
-4.591245,56,1870.407944
39.669798,101,1890.165131
39.486983,157,1918.334553
39.407072,115,1939.567215
-0.172036,73,1953.781633
38.833584,128,1977.275441
-0.67295,105,1996.635161
38.829077,130,2020.451613
39.48821,134,2044.940612
39.273942,156,2073.844392
39.335085,151,2101.097618
-0.171756,175,2132.704956
38.930476,137,2158.029056
-4.827,33,2165.049358
-2.565384,95,2183.217215
38.708125,88,2199.515004
32.884927,113,2220.458312
39.617648,119,2242.096169
40.070305,139,2268.477332
39.043767,140,2294.123415
39.175705,113,2315.061443
39.761502,159,2344.038061
38.759664,132,2368.166562
39.47407,90,2385.204275
39.110466,114,2406.428669
-6.052691,86,2422.576099
-0.322651,138,2448.796144
38.972242,133,2473.228606
-0.251061,111,2494.208444
39.128637,123,2516.706984
-4.684737,162,2546.117698
34.749377,92,2563.643147
39.432347,194,2598.502646
39.396244,117,2619.885666
-7.40571,25,2626.473504
38.73521,93,2643.746727
39.345932,108,2663.577327
-8.632653,18,2667.835171
39.191707,111,2688.384973
-2.801592,86,2704.490658
-4.482383,125,2727.453582
39.14145,95,2745.043502
-4.670497,72,2758.754083
39.047684,133,2782.915591
39.393053,111,2803.34929
39.418848,176,2836.144341
-1.200957,146,2862.989007
-8.600613,54,2873.515312
38.984151,83,2889.398417
38.943409,137,2914.364608
38.842379,94,2932.153124
39.245465,191,2966.38558
-3.733745,84,2982.447516
-3.59316,64,2995.197166
38.545861,130,3020.002812
-0.717453,152,3047.940353
39.165575,144,3073.97582
38.768848,109,3094.347124
38.752696,98,3112.552006
39.585833,152,3139.941092
38.732266,117,3161.596605
39.495806,139,3187.480008
39.250111,103,3206.458943
39.420211,121,3228.563365
-3.429276,47,3238.25339
-1.484698,76,3252.856155
39.622279,122,3275.373096
38.984258,104,3294.611101
39.600757,140,3320.116108
-4.004202,59,3331.774592
39.852859,106,3351.240283
39.477744,182,3384.822767
40.374038,208,3422.379116
38.071039,85,3438.37445
38.968245,141,3464.295834
39.174848,91,3481.40791
38.634614,94,3499.325121
39.068289,153,3527.156609
38.200699,130,3551.230563
38.618215,99,3570.472387
39.672322,143,3596.475997
39.331509,123,3619.065409
39.460854,190,3653.289751
-4.447421,54,3663.959734
39.67212,172,3694.937065
39.307116,98,3713.337717
-3.465173,66,3726.08034
38.414466,91,3743.923325
39.293344,182,3776.664188
-3.726991,46,3786.024179
39.070375,122,3808.593717
-5.095989,77,3823.414837
39.559732,98,3841.735661
38.933938,126,3864.969212
-0.532287,119,3887.090324
39.429171,112,3907.79506
39.090589,120,3930.897269
-4.383047,79,3946.224149
-0.58146,84,3962.257904
38.962584,85,3978.503642
38.678492,127,4002.205304
39.758315,113,4023.057561
-3.899518,104,4042.362911
-7.966528,12,4046.029163
39.54591,103,4065.2849
-4.117952,52,4075.629429
39.666631,133,4099.741298
39.160046,98,4118.766226
-2.315091,92,4135.993484
38.954032,108,4156.085263
-10.857283,86,4172.016285
37.082756,131,4195.777332
39.763474,116,4217.142817
38.556262,116,4238.465359
38.820865,86,4254.789179
38.8695,152,4282.401094
38.797078,114,4304.287265
-8.645867,13,4307.942037
38.557123,175,4339.555368
-6.931077,264,4386.684635
39.536823,259,4432.773057
39.50552,91,4449.812107
-4.999555,59,4461.47381
39.660019,118,4483.210437
39.118274,95,4501.676149
38.709267,121,4523.898131
39.065206,139,4549.087803
39.601918,145,4575.346577
39.175782,143,4601.446763
40.121402,144,4627.306912
38.443384,87,4643.828511
38.9449,101,4662.605679
39.718218,245,4707.371854
38.845914,96,4725.323676
-3.993019,65,4738.068665
39.396718,102,4756.95427
38.729006,142,4782.705036
40.033692,204,4818.976328
-4.380663,73,4833.019116
