0.000100 0.000000 0.000000,0.004200 0.000000 0.000000,0.008300 0.000000 0.000000,0.012400 0.000000 0.000000,0.016500 0.000000 0.000000,0.020600 0.000000 0.000000,0.024700 0.000000 0.000000,0.028800 0.000000 0.000000,0.032900 0.000000 0.000000,0.037000 0.000000 0.000000,0.041100 0.000000 0.000000,0.045200 0.000000 0.000000,0.049300 0.000000 0.000000,0.053400 0.000000 0.000000,0.057500 0.000000 0.000000,0.061600 0.000000 0.000000,0.065700 0.000000 0.000000,0.069800 0.000000 0.000000,0.073900 0.000000 0.000000,0.080100 0.000000 0.000000,
0.000100 0.000000 0.000000,0.004194 0.000193 0.000000,0.008256 0.000745 0.000000,0.012253 0.001651 0.000000,0.016155 0.002904 0.000000,0.019933 0.004495 0.000000,0.023556 0.006411 0.000000,0.026997 0.008637 0.000000,0.030230 0.011157 0.000000,0.033229 0.013951 0.000000,0.035971 0.016997 0.000000,0.038435 0.020272 0.000000,0.040603 0.023751 0.000000,0.042457 0.027406 0.000000,0.043983 0.031210 0.000000,0.045169 0.035134 0.000000,0.046007 0.039146 0.000000,0.046489 0.043216 0.000000,0.046612 0.047313 0.000000,0.046115 0.053488 0.000000,
0.000100 0.000000 0.000000,0.004177 0.000386 0.000000,0.008123 0.001478 0.000000,0.011818 0.003243 0.000000,0.015147 0.005627 0.000000,0.018008 0.008557 0.000000,0.020313 0.011941 0.000000,0.021991 0.015676 0.000000,0.022990 0.019647 0.000000,0.023280 0.023731 0.000000,0.022851 0.027804 0.000000,0.021717 0.031738 0.000000,0.019913 0.035414 0.000000,0.017493 0.038718 0.000000,0.014534 0.041547 0.000000,0.011125 0.043816 0.000000,0.007373 0.045455 0.000000,0.003391 0.046411 0.000000,-0.000696 0.046658 0.000000,-0.006798 0.045669 0.000000,
0.000100 0.000001 0.000000,0.004147 0.000577 0.000000,0.007905 0.002188 0.000000,0.011113 0.004722 0.000000,0.013550 0.008004 0.000000,0.015047 0.011808 0.000000,0.015502 0.015871 0.000000,0.014883 0.019912 0.000000,0.013232 0.023652 0.000000,0.010664 0.026833 0.000000,0.007356 0.029235 0.000000,0.003537 0.030692 0.000000,-0.000531 0.031104 0.000000,-0.004565 0.030441 0.000000,-0.008287 0.028751 0.000000,-0.011441 0.026149 0.000000,-0.013807 0.022816 0.000000,-0.015224 0.018981 0.000000,-0.015592 0.014910 0.000000,-0.014123 0.008928 0.000000,
0.000100 0.000001 0.000000,0.004107 0.000765 0.000000,0.007605 0.002863 0.000000,0.010168 0.006036 0.000000,0.011482 0.009897 0.000000,0.011386 0.013975 0.000000,0.009892 0.017771 0.000000,0.007183 0.020820 0.000000,0.003590 0.022751 0.000000,-0.000448 0.023327 0.000000,-0.004437 0.022477 0.000000,-0.007891 0.020306 0.000000,-0.010385 0.017079 0.000000,-0.011617 0.013190 0.000000,-0.011434 0.009115 0.000000,-0.009860 0.005352 0.000000,-0.007087 0.002361 0.000000,-0.003454 0.000507 0.000000,0.000596 0.000018 0.000000,0.006410 0.001952 0.000000,
0.000100 0.000001 0.000000,0.004055 0.000951 0.000000,0.007230 0.003492 0.000000,0.009023 0.007143 0.000000,0.009093 0.011210 0.000000,0.007427 0.014920 0.000000,0.004341 0.017569 0.000000,0.000421 0.018655 0.000000,-0.003588 0.017970 0.000000,-0.006925 0.015646 0.000000,-0.008957 0.012122 0.000000,-0.009297 0.008069 0.000000,-0.007882 0.004257 0.000000,-0.004979 0.001408 0.000000,-0.001141 0.000064 0.000000,0.002905 0.000480 0.000000,0.006390 0.002577 0.000000,0.008652 0.005958 0.000000,0.009261 0.009979 0.000000,0.006883 0.015582 0.000000,
0.000100 0.000001 0.000000,0.003992 0.001132 0.000000,0.006786 0.004068 0.000000,0.007724 0.008010 0.000000,0.006552 0.011890 0.000000,0.003587 0.014653 0.000000,-0.000365 0.015549 0.000000,-0.004232 0.014335 0.000000,-0.006963 0.011341 0.000000,-0.007818 0.007380 0.000000,-0.006563 0.003526 0.000000,-0.003540 0.000827 0.000000,0.000430 0.000015 0.000000,0.004271 0.001310 0.000000,0.006938 0.004362 0.000000,0.007707 0.008341 0.000000,0.006371 0.012167 0.000000,0.003291 0.014801 0.000000,-0.000695 0.015529 0.000000,-0.006046 0.012732 0.000000,
0.000100 0.000001 0.000000,0.003918 0.001309 0.000000,0.006282 0.004580 0.000000,0.006325 0.008616 0.000000,0.004033 0.011937 0.000000,0.000244 0.013327 0.000000,-0.003653 0.012276 0.000000,-0.006229 0.009170 0.000000,-0.006541 0.005146 0.000000,-0.004474 0.001680 0.000000,-0.000786 0.000041 0.000000,0.003171 0.000830 0.000000,0.005949 0.003758 0.000000,0.006528 0.007752 0.000000,0.004696 0.011348 0.000000,0.001126 0.013229 0.000000,-0.002876 0.012705 0.000000,-0.005842 0.009968 0.000000,-0.006685 0.006021 0.000000,-0.003500 0.000962 0.000000,
0.000100 -0.000000 0.000000,0.004194 -0.000193 0.000000,0.008256 -0.000745 0.000000,0.012253 -0.001651 0.000000,0.016155 -0.002904 0.000000,0.019933 -0.004495 0.000000,0.023556 -0.006411 0.000000,0.026997 -0.008637 0.000000,0.030230 -0.011157 0.000000,0.033229 -0.013951 0.000000,0.035971 -0.016997 0.000000,0.038435 -0.020272 0.000000,0.040603 -0.023751 0.000000,0.042457 -0.027406 0.000000,0.043983 -0.031210 0.000000,0.045169 -0.035134 0.000000,0.046007 -0.039146 0.000000,0.046489 -0.043216 0.000000,0.046612 -0.047313 0.000000,0.046115 -0.053488 0.000000,
0.000100 -0.000000 0.000000,0.004177 -0.000386 0.000000,0.008123 -0.001478 0.000000,0.011818 -0.003243 0.000000,0.015147 -0.005627 0.000000,0.018008 -0.008557 0.000000,0.020313 -0.011941 0.000000,0.021991 -0.015676 0.000000,0.022990 -0.019647 0.000000,0.023280 -0.023731 0.000000,0.022851 -0.027804 0.000000,0.021717 -0.031738 0.000000,0.019913 -0.035414 0.000000,0.017493 -0.038718 0.000000,0.014534 -0.041547 0.000000,0.011125 -0.043816 0.000000,0.007373 -0.045455 0.000000,0.003391 -0.046411 0.000000,-0.000696 -0.046658 0.000000,-0.006798 -0.045669 0.000000,
0.000100 -0.000001 0.000000,0.004147 -0.000577 0.000000,0.007905 -0.002188 0.000000,0.011113 -0.004722 0.000000,0.013550 -0.008004 0.000000,0.015047 -0.011808 0.000000,0.015502 -0.015871 0.000000,0.014883 -0.019912 0.000000,0.013232 -0.023652 0.000000,0.010664 -0.026833 0.000000,0.007356 -0.029235 0.000000,0.003537 -0.030692 0.000000,-0.000531 -0.031104 0.000000,-0.004565 -0.030441 0.000000,-0.008287 -0.028751 0.000000,-0.011441 -0.026149 0.000000,-0.013807 -0.022816 0.000000,-0.015224 -0.018981 0.000000,-0.015592 -0.014910 0.000000,-0.014123 -0.008928 0.000000,
0.000100 -0.000001 0.000000,0.004107 -0.000765 0.000000,0.007605 -0.002863 0.000000,0.010168 -0.006036 0.000000,0.011482 -0.009897 0.000000,0.011386 -0.013975 0.000000,0.009892 -0.017771 0.000000,0.007183 -0.020820 0.000000,0.003590 -0.022751 0.000000,-0.000448 -0.023327 0.000000,-0.004437 -0.022477 0.000000,-0.007891 -0.020306 0.000000,-0.010385 -0.017079 0.000000,-0.011617 -0.013190 0.000000,-0.011434 -0.009115 0.000000,-0.009860 -0.005352 0.000000,-0.007087 -0.002361 0.000000,-0.003454 -0.000507 0.000000,0.000596 -0.000018 0.000000,0.006410 -0.001952 0.000000,
0.000100 -0.000001 0.000000,0.004055 -0.000951 0.000000,0.007230 -0.003492 0.000000,0.009023 -0.007143 0.000000,0.009093 -0.011210 0.000000,0.007427 -0.014920 0.000000,0.004341 -0.017569 0.000000,0.000421 -0.018655 0.000000,-0.003588 -0.017970 0.000000,-0.006925 -0.015646 0.000000,-0.008957 -0.012122 0.000000,-0.009297 -0.008069 0.000000,-0.007882 -0.004257 0.000000,-0.004979 -0.001408 0.000000,-0.001141 -0.000064 0.000000,0.002905 -0.000480 0.000000,0.006390 -0.002577 0.000000,0.008652 -0.005958 0.000000,0.009261 -0.009979 0.000000,0.006883 -0.015582 0.000000,
0.000100 -0.000001 0.000000,0.003992 -0.001132 0.000000,0.006786 -0.004068 0.000000,0.007724 -0.008010 0.000000,0.006552 -0.011890 0.000000,0.003587 -0.014653 0.000000,-0.000365 -0.015549 0.000000,-0.004232 -0.014335 0.000000,-0.006963 -0.011341 0.000000,-0.007818 -0.007380 0.000000,-0.006563 -0.003526 0.000000,-0.003540 -0.000827 0.000000,0.000430 -0.000015 0.000000,0.004271 -0.001310 0.000000,0.006938 -0.004362 0.000000,0.007707 -0.008341 0.000000,0.006371 -0.012167 0.000000,0.003291 -0.014801 0.000000,-0.000695 -0.015529 0.000000,-0.006046 -0.012732 0.000000,
0.000100 -0.000001 0.000000,0.003918 -0.001309 0.000000,0.006282 -0.004580 0.000000,0.006325 -0.008616 0.000000,0.004033 -0.011937 0.000000,0.000244 -0.013327 0.000000,-0.003653 -0.012276 0.000000,-0.006229 -0.009170 0.000000,-0.006541 -0.005146 0.000000,-0.004474 -0.001680 0.000000,-0.000786 -0.000041 0.000000,0.003171 -0.000830 0.000000,0.005949 -0.003758 0.000000,0.006528 -0.007752 0.000000,0.004696 -0.011348 0.000000,0.001126 -0.013229 0.000000,-0.002876 -0.012705 0.000000,-0.005842 -0.009968 0.000000,-0.006685 -0.006021 0.000000,-0.003500 -0.000962 0.000000,
0.002080 0.000000 0.000000,0.087360 0.000000 0.000000,0.172640 0.000000 0.000000,0.257920 0.000000 0.000000,0.343200 0.000000 0.000000,0.428480 0.000000 0.000000,0.513760 0.000000 0.000000,0.599040 0.000000 0.000000,0.684320 0.000000 0.000000,0.769600 0.000000 0.000000,0.854880 0.000000 0.000000,0.940160 0.000000 0.000000,1.025440 0.000000 0.000000,1.110720 0.000000 0.000000,1.196000 0.000000 0.000000,1.281280 0.000000 0.000000,1.366560 0.000000 0.000000,1.451840 0.000000 0.000000,1.537120 0.000000 0.000000,1.666080 0.000000 0.000000,
0.002080 0.000004 0.000000,0.087238 0.004022 0.000000,0.171715 0.015496 0.000000,0.254859 0.034338 0.000000,0.336029 0.060403 0.000000,0.414600 0.093490 0.000000,0.489964 0.133343 0.000000,0.561540 0.179656 0.000000,0.628777 0.232070 0.000000,0.691155 0.290181 0.000000,0.748194 0.353542 0.000000,0.799453 0.421663 0.000000,0.844538 0.494019 0.000000,0.883099 0.570052 0.000000,0.914841 0.649175 0.000000,0.939517 0.730778 0.000000,0.956938 0.814232 0.000000,0.966970 0.898892 0.000000,0.969534 0.984106 0.000000,0.959200 1.112556 0.000000,
0.002080 0.000009 0.000000,0.086872 0.008027 0.000000,0.168957 0.030745 0.000000,0.245806 0.067462 0.000000,0.315054 0.117048 0.000000,0.374567 0.177976 0.000000,0.422513 0.248369 0.000000,0.457415 0.326060 0.000000,0.478198 0.408655 0.000000,0.484223 0.493612 0.000000,0.475304 0.578314 0.000000,0.451714 0.660153 0.000000,0.414182 0.736608 0.000000,0.363863 0.805324 0.000000,0.302306 0.864186 0.000000,0.231407 0.911381 0.000000,0.153350 0.945455 0.000000,0.070538 0.965359 0.000000,-0.014479 0.970480 0.000000,-0.141406 0.949925 0.000000,
0.002080 0.000013 0.000000,0.086264 0.011999 0.000000,0.164419 0.045504 0.000000,0.231145 0.098214 0.000000,0.281835 0.166487 0.000000,0.312987 0.245609 0.000000,0.322450 0.330114 0.000000,0.309569 0.414166 0.000000,0.275235 0.491960 0.000000,0.221819 0.558123 0.000000,0.153011 0.608084 0.000000,0.073563 0.638393 0.000000,-0.011039 0.646956 0.000000,-0.094949 0.633183 0.000000,-0.172374 0.598024 0.000000,-0.237964 0.543907 0.000000,-0.287191 0.474572 0.000000,-0.316653 0.394805 0.000000,-0.324317 0.310118 0.000000,-0.293763 0.185707 0.000000,
0.002080 0.000018 0.000000,0.085418 0.015922 0.000000,0.158188 0.059542 0.000000,0.211494 0.125547 0.000000,0.238821 0.205868 0.000000,0.236829 0.290686 0.000000,0.205760 0.369635 0.000000,0.149412 0.433064 0.000000,0.074674 0.473218 0.000000,-0.009319 0.485191 0.000000,-0.092300 0.467519 0.000000,-0.164126 0.422361 0.000000,-0.216016 0.355238 0.000000,-0.241629 0.274354 0.000000,-0.237834 0.189597 0.000000,-0.205093 0.111327 0.000000,-0.147410 0.049111 0.000000,-0.071835 0.010554 0.000000,0.012394 0.000370 0.000000,0.133328 0.040594 0.000000,
0.002080 0.000022 0.000000,0.084337 0.019779 0.000000,0.150382 0.072643 0.000000,0.187674 0.148576 0.000000,0.189131 0.233160 0.000000,0.154477 0.310333 0.000000,0.090292 0.365440 0.000000,0.008764 0.388018 0.000000,-0.074626 0.373779 0.000000,-0.144042 0.325427 0.000000,-0.186304 0.252144 0.000000,-0.193386 0.167844 0.000000,-0.163944 0.088536 0.000000,-0.103569 0.029280 0.000000,-0.023724 0.001327 0.000000,0.060428 0.009985 0.000000,0.132908 0.053611 0.000000,0.179953 0.123920 0.000000,0.192629 0.207561 0.000000,0.143167 0.324102 0.000000,
