#{"t_start": 1681531281.555282, "env_id": "TurtleBot3tentabot_drl-v00"}
r,l,t
-7.712218,73,48.398874
34.118437,145,75.595831
38.054041,130,100.277551
38.516296,111,121.348322
-8.440285,82,137.352977
36.939909,137,163.422086
-7.115975,63,175.949074
38.374209,115,197.673341
38.60787,121,220.372173
-7.249012,49,233.383898
38.017582,101,252.556008
-12.310092,81,268.46492
-8.50592,34,275.766808
-3.96025,72,289.987341
39.048281,132,314.736634
-7.194398,59,327.073052
30.765182,113,348.48776
-5.823079,50,358.665842
34.967878,132,383.662092
34.178371,127,407.693946
37.965214,154,437.371999
-5.371281,70,451.132789
-5.911797,54,462.440992
-7.789557,109,483.273472
38.599403,123,506.669648
36.122704,143,533.084189
37.922988,106,553.161964
-2.977162,99,572.303943
38.106764,131,597.121019
-6.694986,88,615.24765
30.683538,156,644.617492
36.720479,135,670.166502
38.099597,119,692.64146
28.167292,122,715.373459
38.281463,123,738.369322
38.386841,125,762.113988
38.899548,138,787.989557
-8.469413,27,794.082438
38.454164,146,822.361963
36.622383,151,850.436141
-6.840553,67,864.184962
-8.108164,76,879.222919
-6.167594,71,893.494469
35.864858,151,921.712109
37.69002,118,944.310068
38.284221,161,974.30503
-7.581173,62,986.772577
-10.179971,8,989.536203
36.21801,146,1017.946138
38.606142,121,1040.781181
37.944494,116,1062.741272
-9.236577,154,1091.220407
37.786154,110,1112.060206
35.610811,128,1136.40923
33.200734,114,1158.27291
-7.113085,83,1175.195278
-6.574557,69,1190.477103
38.204044,119,1213.240941
33.222497,154,1242.15066
25.403609,123,1265.336022
29.334612,154,1293.848401
37.764665,147,1321.411547
37.677177,161,1351.648152
38.539363,186,1386.683407
35.564366,118,1409.385638
-8.418154,79,1425.072427
38.463098,159,1454.727431
-5.150398,66,1467.84489
38.725353,134,1493.152254
38.034345,125,1516.750798
36.239994,162,1546.898875
30.306745,151,1576.054132
38.11472,139,1602.102124
38.390484,153,1630.619315
36.013064,117,1653.121729
38.45807,154,1681.763211
38.815084,132,1706.475888
-8.377149,81,1722.418869
38.065088,117,1744.768957
38.403887,149,1773.732674
36.355885,121,1796.64638
37.934535,129,1821.095746
34.978724,147,1848.645463
-5.917582,63,1861.481051
37.620396,158,1890.958907
-5.87009,57,1902.425448
33.126964,166,1933.437698
38.6424,122,1957.434712
34.722284,167,1988.488245
35.281594,141,2015.485206
-8.089879,66,2028.513033
38.017102,125,2051.997419
35.435945,121,2074.876158
-6.220721,80,2090.861565
38.552681,114,2112.546797
-6.643473,46,2122.31074
38.216373,122,2146.141471
37.393993,138,2172.301476
-6.823982,64,2185.340952
35.658066,116,2207.242249
37.729478,103,2227.206254
38.15172,128,2251.560777
31.449865,149,2279.260542
38.163063,123,2302.636145
38.698196,147,2330.571066
-2.374913,80,2347.457812
36.827046,96,2366.051072
38.35403,118,2388.360945
34.443956,151,2416.770943
-8.840836,62,2429.621175
34.674831,98,2448.351363
38.977984,111,2469.621352
37.700166,109,2490.291144
38.425073,145,2517.260398
36.443259,114,2539.697439
38.934487,115,2561.392704
37.462503,115,2583.269642
-6.380112,61,2595.713286
38.942642,125,2619.369146
38.270481,103,2639.088382
35.702393,107,2659.535063
38.379766,133,2684.753984
38.205928,139,2710.805671
36.139345,102,2731.483976
36.577896,128,2756.166083
39.120865,106,2776.60891
36.304522,99,2795.725692
-6.819745,39,2803.905277
23.557357,176,2836.498749
37.634493,102,2856.42094
35.936013,143,2882.88918
-11.988042,90,2900.147034
38.276738,120,2923.51683
37.944752,94,2941.61773
-4.398364,106,2962.219055
-4.44097,77,2977.297741
-11.366572,14,2981.30496
37.8408,135,3006.567046
35.29353,140,3032.772388
38.059029,129,3057.128674
39.047967,117,3079.443074
-8.021199,30,3086.117464
-11.754326,101,3106.528581
38.146563,119,3129.006646
36.987568,106,3149.222336
38.416515,108,3169.640611
38.327698,105,3189.581243
-8.737065,67,3202.919693
38.612932,147,3230.761283
-4.252734,66,3244.021023
-8.917705,107,3264.495721
-2.278942,113,3286.179506
38.195378,124,3310.301547
-5.797363,44,3319.782624
-6.798936,54,3330.927685
-16.910225,78,3346.154575
-6.500719,75,3361.308999
38.206473,119,3383.976291
39.126711,134,3409.174979
-11.622662,59,3421.313595
-5.885505,81,3437.600207
37.611723,119,3460.080011
38.13422,120,3482.938182
37.718907,122,3507.107195
-6.510032,62,3519.99358
38.231596,146,3547.499608
38.285704,102,3567.101671
38.356356,101,3586.395244
34.818806,104,3606.148524
-8.879114,86,3622.819075
29.335129,170,3654.370149
38.29886,122,3677.626643
39.144192,106,3698.689999
-8.899258,18,3703.349548
31.500283,118,3725.642073
38.475018,110,3746.584946
30.71892,111,3767.781015
38.106711,132,3792.549985
32.988445,158,3821.901779
38.606273,134,3847.358517
-9.679295,81,3863.440326
37.756589,114,3886.175433
32.34567,99,3905.218842
38.874553,139,3931.148191
38.695545,118,3953.56705
38.293913,137,3979.278949
-9.1424,18,3983.979842
39.021791,125,4007.589261
-5.182733,59,4019.448804
33.750812,136,4045.101556
-13.386072,66,4058.192783
-10.003722,77,4074.077655
-10.635233,37,4082.029255
-13.359073,107,4102.39964
38.990544,152,4130.943064
-11.066251,53,4141.928188
35.94454,110,4162.713705
33.557642,128,4186.902959
38.052675,120,4209.497273
-8.134441,43,4218.379403
35.902066,101,4237.676066
39.177979,116,4260.631983
-6.408085,69,4274.278933
37.916871,126,4298.018184
-5.269931,71,4312.397068
37.799473,124,4335.511657
38.784694,113,4357.052708
-8.305997,27,4363.400586
27.574913,154,4392.053038
37.200635,133,4417.111817
37.890497,108,4437.479945
24.795721,98,4457.3372
-12.782554,64,4470.067917
38.36186,113,4492.004618
37.126078,132,4516.902165
38.5121,92,4535.016142
-5.648256,82,4551.312842
-3.237942,77,4566.4911
38.889726,107,4587.00953
35.783423,146,4614.516918
38.979263,100,4633.84237
-12.377753,63,4647.410237
38.823692,92,4665.292817
38.461948,90,4682.65349
-6.696216,42,4691.696666
37.95699,140,4717.615095
38.194833,124,4740.805293
38.534806,113,4762.448237
34.64147,197,4798.739849
37.974961,116,4820.871323
38.945472,95,4840.271469
38.378499,103,4860.027772
37.966454,108,4880.463743
32.510283,122,4903.221906
38.890377,123,4926.599644
38.583849,95,4944.824052
-4.004274,86,4961.76193
-2.350739,113,4983.075968
36.062807,110,5004.151585
-6.251343,55,5015.355313
38.718045,113,5037.926071
37.568843,111,5059.105507
-7.11745,38,5067.445045
38.596624,115,5089.15841
38.459782,110,5110.121229
-6.596756,59,5121.949525
39.011549,122,5145.013425
38.180757,115,5166.939132
-8.49359,29,5173.36112
38.481396,126,5197.142503
-8.122537,54,5208.204499
38.459506,115,5230.895599
38.93967,95,5249.19624
30.368695,157,5278.104982
38.425617,99,5296.890829
35.154221,134,5322.361073
-2.323542,137,5348.106786
-4.06918,85,5364.712833
38.228268,112,5386.033193
33.562842,131,5410.683444
38.08041,110,5432.409322
38.187457,118,5454.584929
-6.679636,50,5464.854039
37.994981,139,5491.171793
-3.20414,62,5503.636608
38.939073,115,5525.364907
38.767147,103,5545.288223
-4.460335,71,5559.317616
-3.628457,133,5584.398695
-7.211187,61,5596.53584
-11.700809,42,5605.327247
38.29095,102,5625.971898
35.410165,123,5649.312999
38.818692,110,5670.50691
33.850355,123,5693.869831
38.305025,139,5719.752176
-3.534494,112,5741.000989
-6.18808,53,5751.619696
38.147289,110,5772.29635
35.486549,109,5792.757445
38.153545,114,5815.328461
38.295904,103,5835.193365
-6.2729,54,5846.121122
37.987968,92,5864.163109
34.020509,160,5893.926829
31.223022,139,5919.922982
34.757191,145,5946.952791
31.396752,97,5965.729052
34.366899,130,5991.140073
-7.353147,87,6007.877991
37.850578,82,6023.632673
37.077901,121,6046.532682
39.038499,108,6067.182444
-6.850491,78,6082.323991
-4.286657,65,6095.084485
38.091785,109,6115.936599
-10.816908,79,6131.312845
38.173386,120,6154.169853
35.607897,104,6174.305764
-7.761929,177,6208.082214
-20.17513,82,6224.07656
35.884813,107,6244.514159
36.988645,133,6269.355765
37.981528,112,6290.7886
35.578878,99,6309.754194
35.881161,121,6332.336504
-9.102028,45,6341.592495
38.965271,105,6361.349285
38.755962,101,6381.493337
38.710357,81,6397.694551
-8.012186,2,6399.325596
-10.593968,47,6409.2888
39.020086,132,6434.377053
39.09253,136,6460.123781
38.56948,91,6477.704954
37.83578,101,6497.106024
37.01802,117,6519.311611
35.31612,132,6544.330678
38.671429,111,6565.298393
38.122873,83,6582.737698
38.34658,107,6603.092939
38.620538,127,6627.19741
36.046896,106,6647.422112
37.45486,115,6669.227089
-4.655697,89,6686.598687
38.395448,126,6710.549904
-17.257613,68,6723.853032
-9.292068,20,6728.669118
36.425283,111,6750.080966
-4.464961,54,6761.275277
38.228438,110,6783.069935
38.885263,112,6804.296952
-6.169246,41,6813.193431
38.287954,100,6832.248074
-2.3008,142,6858.747222
-8.22088,31,6865.848643
-5.162163,142,6892.175322
38.045037,89,6909.548989
37.32918,117,6932.092596
38.611043,115,6953.721068
35.661489,133,6979.536332
-14.497815,87,6996.17691
-6.430025,42,7004.984811
37.036282,94,7023.193652
39.02621,105,7043.350227
-6.275499,45,7052.76897
-2.153139,85,7069.302235
37.132807,109,7090.001678
36.782535,111,7111.125624
-9.589204,7,7113.98239
-11.180762,30,7120.734805
37.861107,108,7141.178857
-8.835972,75,7156.766648
34.459438,109,7177.614222
37.532317,127,7201.537919
38.544734,102,7221.433387
-1.274716,126,7245.071396
-15.680533,34,7252.326591
36.926601,109,7272.952932
31.626663,94,7290.846259
35.335828,121,7313.624213
37.390775,124,7336.844367
38.418778,93,7355.47987
-8.017087,92,7373.532029
-5.628952,40,7382.402056
29.807211,162,7412.447003
38.478193,97,7431.404298
-7.621617,120,7454.155216
-4.238948,62,7466.502742
37.934962,126,7490.501227
-6.598133,52,7501.141669
38.556049,142,7527.482339
38.514023,93,7546.436389
-3.44641,92,7564.263954
37.236612,114,7586.102208
-6.520412,50,7596.565559
-6.854088,134,7621.680377
-9.0508,18,7626.134682
35.583098,108,7646.651562
34.693378,98,7665.762517
37.875788,158,7695.245223
38.547243,90,7712.638536
28.250506,113,7735.046193
-8.424689,92,7752.915374
39.035133,103,7772.62048
-6.590923,53,7783.708744
37.743392,130,7808.132895
37.518009,134,7833.422231
28.833942,135,7858.445828
36.123854,122,7881.201242
35.570457,94,7899.355243
-5.066038,96,7917.816705
38.436077,104,7938.545095
-6.179778,34,7945.963451
38.674073,116,7967.992355
38.403599,114,7989.435114
-5.789807,91,8007.316567
38.860706,97,8025.901019
-7.055401,40,8034.401066
-13.375163,50,8044.768037
-5.851867,70,8058.752035
37.903445,110,8079.906224
-10.994261,82,8096.088271
-15.940154,77,8111.197489
-14.595524,110,8133.005327
-3.526066,90,8150.534534
-2.693323,158,8179.779835
-12.165866,41,8188.690022
37.1741,128,8213.330255
31.659656,90,8230.926306
-3.623483,78,8246.23206
38.440401,91,8263.848828
38.343745,145,8290.704947
-1.691459,121,8314.182448
38.092303,123,8337.406176
38.304701,125,8361.075894
-6.749513,89,8378.096823
-5.283588,63,8390.655157
36.989198,161,8420.491641
38.417267,97,8439.185107
38.304808,115,8461.050292
-4.63631,50,8471.459098
38.223026,102,8490.975951
34.588463,121,8514.878362
35.820746,107,8535.046722
33.200835,97,8553.606433
37.234341,101,8573.1552
37.830611,97,8591.716353
-7.448027,40,8600.474583
35.245453,123,8623.842852
38.036025,136,8649.052601
-17.183461,100,8668.120795
37.919266,94,8686.199862
31.878064,152,8715.590985
-10.696259,13,8719.206551
36.279804,117,8741.424448
38.760396,97,8760.371674
35.643282,126,8784.28298
37.849146,119,8806.732418
-9.644994,71,8820.942118
-2.100264,123,8844.17898
-4.005972,78,8859.545341
38.505669,96,8878.096849
38.535153,107,8899.476178
38.559493,99,8918.379972
38.89504,114,8940.075991
-6.616682,46,8949.636659
36.50005,119,8972.046751
-5.368697,122,8995.343701
-10.102479,20,9000.573982
-5.911121,43,9009.693783
33.918162,146,9036.979384
