#{"t_start": 1683617263.6796248, "env_id": "TurtleBot3tentabot_drl-v00"}
r,l,t
-5.044753,80,49.542331
38.336943,95,67.332371
38.720886,136,92.359438
39.213811,159,121.167563
-6.170972,83,136.867616
38.187591,99,155.409513
-2.753718,142,181.170989
-6.208528,34,188.431212
39.007786,145,214.711792
38.589732,87,234.011716
39.608233,106,253.627929
-4.691746,48,263.410731
39.867556,136,288.131053
39.708411,129,311.390428
38.92968,159,339.903029
-2.810777,189,374.043996
38.391127,132,398.02176
40.293497,197,434.168294
38.549444,121,456.287448
-3.931551,58,467.723042
38.376165,106,487.549569
38.928606,136,511.893344
-1.701781,168,541.680861
38.848683,102,560.832446
39.89564,170,592.173285
39.403077,193,626.642264
-8.699189,15,630.47769
39.259108,136,655.03453
-4.515057,96,673.199641
38.29098,135,698.158294
-1.814925,133,722.605145
39.045872,164,751.648615
-5.075131,42,760.214247
-4.879805,143,786.972258
39.365321,98,805.358939
39.079851,105,825.066831
38.882013,124,847.766223
39.161506,195,882.776314
39.401048,174,914.430916
-2.331803,118,936.161399
36.470744,149,963.979795
38.795484,127,987.28614
38.459743,126,1010.517981
-5.537626,43,1019.583891
-3.246309,112,1040.20422
39.176569,114,1061.007919
39.325221,117,1082.362009
39.099495,97,1100.295891
39.612007,128,1123.655953
39.406219,153,1152.172186
39.12311,128,1175.450697
39.066296,137,1200.404333
-2.440279,65,1213.092268
38.791939,114,1234.193903
38.450503,100,1252.876024
-8.605191,15,1256.804722
-0.064574,111,1277.221143
38.876228,130,1300.873908
38.446103,131,1324.932745
38.85574,117,1347.17626
38.834654,167,1377.207637
-4.460347,39,1385.576264
38.982225,115,1406.732459
39.133098,122,1428.969339
39.364168,135,1453.424448
-1.290574,74,1467.606198
39.395684,135,1492.038003
38.946173,119,1514.642898
38.648323,108,1534.637401
39.414296,140,1560.249951
39.121912,103,1579.248939
39.234625,143,1605.194002
38.963611,114,1625.986647
40.140341,181,1658.696342
38.7145,150,1686.098406
38.790448,185,1720.383519
39.254111,146,1746.855254
39.040097,140,1772.453151
39.441619,110,1792.736671
38.911557,96,1810.521451
38.512414,176,1842.074227
39.555448,173,1873.068907
39.359324,119,1895.739527
0.031734,100,1914.224432
39.593884,156,1942.047132
38.957517,134,1966.568231
-1.988585,89,1983.459752
39.298144,148,2010.376576
38.182393,103,2029.54829
0.153173,105,2049.081126
38.904753,177,2081.788844
39.318952,145,2108.146204
38.845058,114,2128.97328
39.339209,124,2151.660088
38.750188,104,2170.861917
-8.978645,18,2175.25125
-3.629405,94,2192.906574
-2.441403,87,2209.480821
-5.201225,52,2220.040699
39.685619,106,2239.65225
39.833294,170,2271.06721
-3.152809,55,2282.183598
39.479264,117,2303.619938
38.560172,126,2326.549666
38.487982,111,2347.067983
38.410154,167,2376.966475
39.002456,121,2399.098996
39.459026,180,2431.630623
38.989368,201,2468.362959
-3.827526,109,2488.440277
39.741733,150,2515.797123
39.167615,133,2540.026928
-6.218517,57,2551.402797
39.01444,111,2571.856524
39.553911,191,2605.976413
38.955468,174,2638.003094
38.199492,132,2662.351565
38.649312,158,2690.852342
-7.203409,178,2723.242211
39.235548,112,2743.966997
-4.126716,77,2758.596271
39.159424,116,2780.032409
39.632611,179,2812.865798
38.860814,124,2835.521497
39.831802,217,2874.092701
39.094706,96,2891.879867
0.474729,97,2909.929759
38.195373,99,2928.205552
-4.470177,64,2940.924506
38.770796,118,2962.727563
39.387887,105,2982.324445
-2.518802,74,2997.242972
38.515512,100,3015.963903
