#{"t_start": 1683795420.7289932, "env_id": "TurtleBot3tentabot_drl-v00"}
r,l,t
38.955639,150,57.445322
38.541341,145,85.253832
39.112719,95,103.990194
39.157092,112,125.278953
39.381132,182,158.738779
-4.470952,59,170.450897
39.453419,106,190.731499
38.876651,99,209.619733
39.217517,127,234.53718
39.198432,109,255.037207
39.027144,101,274.40882
-3.474295,79,289.991513
39.631029,90,307.358837
-2.675987,76,322.519319
39.566145,113,344.419966
38.341805,103,363.92807
39.362167,120,386.523509
40.003132,142,413.843522
-3.181102,67,427.25286
38.757393,95,445.584779
38.630119,89,462.764342
39.510394,100,481.794343
-2.314429,67,495.040388
-4.964468,34,502.508843
38.925055,158,531.596803
38.789878,103,551.506185
-1.107343,68,565.124541
38.773407,91,582.769272
-3.826457,57,594.352679
38.544328,99,614.432946
-2.06796,195,650.418021
39.536502,143,676.834015
-3.120375,114,698.281322
-4.018907,57,709.952371
38.720686,91,727.52186
38.754745,96,745.833258
38.731612,93,763.853112
39.081219,103,783.419509
39.057795,113,805.855007
39.368256,97,824.182256
38.550445,90,841.445203
38.586213,116,863.07151
-2.304695,57,874.763665
-3.953254,72,889.019872
39.640153,109,909.478028
-2.093959,70,923.381875
-0.636187,78,938.788711
39.571355,164,969.399472
-4.096893,53,980.372982
39.756758,141,1007.909201
39.03849,103,1027.66578
-1.827915,60,1039.887722
38.875341,92,1057.884558
38.941231,105,1078.098264
38.874873,93,1095.904833
38.584621,138,1121.390139
38.171791,74,1136.339496
39.342484,117,1158.367766
38.935573,129,1182.353208
39.481987,97,1201.681256
38.813302,105,1221.952656
39.210749,135,1247.097386
-5.07057,30,1253.735384
38.414349,149,1281.128593
39.428936,107,1301.567562
38.829448,132,1326.443086
38.46017,121,1349.307262
39.986578,161,1379.790159
-5.679383,25,1385.532943
39.624619,112,1406.566616
39.103647,98,1425.422429
-3.211833,74,1439.907347
39.598225,112,1460.775965
39.200876,138,1486.494691
-5.205923,50,1496.664169
38.598771,119,1519.166042
-3.743604,83,1535.57975
39.831,120,1558.282182
38.897746,124,1582.575566
38.240246,112,1603.837073
38.44639,88,1621.083519
39.682187,136,1646.357605
39.218275,109,1667.299574
39.223053,142,1693.91281
38.872964,87,1710.713831
38.916005,135,1735.981247
30,1,1737.547541
38.374897,115,1760.267551
-1.907625,147,1788.089334
38.888859,102,1807.636269
38.807429,91,1825.382102
-6.942748,15,1829.698625
-1.009705,120,1852.393367
39.693893,103,1872.289707
39.192803,94,1890.160307
39.496969,106,1910.331296
-13.6015,30,1917.070907
-7.970034,25,1922.867248
39.215538,79,1938.143919
0.553186,133,1963.706205
-7.747164,85,1979.999293
39.022908,128,2003.813186
-1.040804,90,2021.138658
39.388753,133,2046.303683
-9.298626,66,2059.547647
38.640348,109,2080.131497
38.910196,82,2096.157107
-5.622738,38,2104.325413
38.886986,157,2133.396192
38.133436,102,2153.483533
-5.76734,78,2168.566983
39.040312,105,2188.456436
-0.533661,104,2208.602781
39.006616,122,2231.692675
-2.518575,62,2244.147583
39.286342,110,2265.271707
39.495768,83,2281.440019
38.615887,117,2303.884972
-4.903869,88,2320.934712
39.300128,92,2339.613014
-1.680668,71,2353.753168
38.954219,99,2372.428166
39.259942,130,2396.804332
-3.553768,80,2412.460196
38.656007,149,2440.420129
39.773911,110,2461.279535
-3.782589,59,2473.269742
39.280386,102,2492.952368
38.172924,127,2516.754802
-1.42543,115,2539.795816
38.890927,104,2559.629713
39.260271,131,2584.234021
38.418528,120,2607.11555
39.007257,107,2627.55542
-3.924332,60,2639.745558
39.26285,106,2659.908
39.061984,85,2676.491423
39.210071,192,2712.006377
-7.706963,20,2716.872189
-2.749408,63,2730.578554
39.042932,204,2767.797785
38.19745,138,2793.552055
38.145783,191,2828.554343
0.26905,133,2853.286487
39.962635,122,2876.475482
39.020682,119,2898.91822
38.998695,109,2920.559106
39.20385,89,2937.752001
38.966488,95,2956.127867
-4.28397,64,2968.677065
39.242375,84,2984.903627
39.308108,103,3004.530806
39.388543,115,3026.613321
38.199077,102,3046.122194
-8.51639,46,3055.565947
0.876058,148,3082.939112
38.343338,118,3106.155347
39.195851,102,3125.511515
39.434802,113,3147.089746
38.320845,116,3168.721258
39.757817,110,3189.596276
39.288574,109,3210.265267
-2.527022,86,3226.811996
38.305214,88,3243.920756
38.650192,121,3266.41608
-2.390963,70,3280.320445
39.159363,118,3303.248006
39.788435,114,3324.535022
39.200775,237,3368.101927
39.238173,157,3397.085044
39.453801,131,3421.952182
38.925432,127,3445.8274
38.579184,113,3467.594763
38.626532,100,3487.747291
-5.050345,53,3498.84773
38.605769,100,3518.230278
39.788275,119,3540.633045
-4.434233,55,3551.675518
39.7424,102,3571.208561
39.226089,123,3594.492986
39.405827,124,3618.127159
39.140126,124,3641.332565
-2.731574,89,3658.503491
38.498336,95,3677.498002
39.393706,187,3711.760302
39.052276,104,3731.598108
-4.921063,39,3739.839156
38.848074,114,3761.267163
38.900828,94,3779.528181
40.194074,239,3823.409064
39.393791,138,3849.587658
39.685931,94,3868.558529
39.378114,104,3888.158287
38.879881,172,3920.31717
38.92054,94,3938.42829
39.325542,114,3959.857379
-2.721478,61,3972.263479
-7.649234,49,3982.013076
38.371192,80,3997.497802
39.068127,91,4014.988782
39.101285,149,4042.755225
38.503571,85,4060.069373
-8.969977,36,4067.549174
39.11904,150,4095.336093
38.716551,106,4115.483609
39.034173,81,4131.269434
39.264327,99,4150.275079
38.173398,115,4172.219059
39.738635,119,4194.590681
39.079524,114,4216.112573
-2.322414,61,4228.358176
39.071234,85,4245.025484
39.09313,149,4273.240661
-8.686101,15,4277.512408
38.487502,104,4297.091342
39.281254,107,4317.898495
39.857176,211,4356.549304
-2.198581,63,4369.467926
39.270201,115,4391.511897
39.310621,154,4419.81443
38.522147,92,4438.510911
39.045797,86,4455.237841
39.058365,96,4473.607544
-3.067837,66,4486.69799
39.096745,94,4504.644036
-7.369465,31,4511.412513
39.041449,114,4533.185769
38.913793,86,4549.774001
38.180782,84,4565.983374
-1.905276,73,4580.288353
38.168593,80,4595.934794
38.945955,92,4613.678392
-3.291317,55,4625.167222
38.685253,100,4645.346076
-3.992481,75,4660.103216
-2.396358,75,4674.99515
0.694966,101,4694.198006
39.017547,107,4714.390823
38.555926,113,4735.873758
39.351088,91,4753.3082
0.710154,169,4784.468564
38.994605,81,4800.319535
-1.780026,68,4813.803027
39.140395,113,4836.282641
38.690809,112,4857.615035
-0.461662,83,4873.550152
38.929535,104,4893.152023
39.412832,117,4915.325069
39.40242,91,4932.849578
-4.577083,85,4949.158537
38.294208,77,4964.053776
-1.310268,84,4980.418164
39.112613,83,4996.422049
39.281523,118,5019.959052
39.759289,114,5041.411455
38.932752,124,5064.648298
39.076328,110,5085.773211
-8.105172,21,5090.720446
40.081392,173,5122.8216
39.332154,113,5143.874112
39.06171,155,5172.840393
40.152811,101,5192.415106
38.795609,149,5221.063547
39.471521,125,5244.586717
-3.065584,45,5253.875823
39.425531,134,5278.816
1.15626,114,5300.430028
-3.806849,67,5313.711957
39.289117,95,5332.243482
-6.054893,27,5338.795509
-3.848726,125,5362.361468
-2.020126,73,5376.797846
38.97384,93,5394.851635
39.074117,105,5415.579625
38.638075,83,5431.710423
-0.148984,75,5446.786168
39.324834,90,5464.256234
38.633857,108,5484.602696
39.241791,123,5507.575615
-6.846781,32,5514.961943
-3.94382,62,5527.507116
-6.961521,30,5534.120298
39.508734,132,5559.145493
-8.341613,53,5569.764882
38.714654,108,5590.389309
38.40732,86,5608.006249
39.343851,112,5629.046795
-7.154831,22,5634.436488
39.091627,132,5659.301681
39.427212,97,5678.073893
38.869693,113,5699.660034
39.133314,103,5719.311464
39.761293,94,5737.302855
39.0122,98,5755.86359
38.935136,129,5780.571527
39.274378,169,5812.398654
39.354175,103,5832.202266
39.066013,93,5850.010855
38.895496,123,5873.087591
-8.597075,49,5882.813393
39.035812,83,5898.877562
38.384224,133,5923.743787
39.858689,120,5946.551047
38.866815,79,5962.016955
0.147141,87,5978.7971
-4.422384,108,6000.585073
38.468616,128,6024.667506
38.911064,103,6044.226117
38.372888,131,6068.553477
39.928387,95,6086.949087
38.793402,103,6106.547949
-8.903442,26,6112.315099
38.908934,95,6130.401385
39.511788,105,6150.501409
39.964789,191,6186.259176
40.01587,134,6211.46006
-4.116838,46,6221.1872
38.793452,103,6240.727201
-6.189303,51,6251.230824
38.639625,101,6270.613209
-2.460079,67,6283.962319
39.000013,111,6305.068017
39.698645,184,6339.286546
39.216995,95,6357.675478
39.566327,101,6378.019694
39.898598,112,6399.068374
-4.320351,44,6408.343503
39.380383,99,6427.267756
38.785143,189,6462.009416
-3.662514,52,6472.703588
