0.000100 0.000000 0.000000,0.004200 0.000000 0.000000,0.008300 0.000000 0.000000,0.012400 0.000000 0.000000,0.016500 0.000000 0.000000,0.020600 0.000000 0.000000,0.024700 0.000000 0.000000,0.028800 0.000000 0.000000,0.032900 0.000000 0.000000,0.037000 0.000000 0.000000,0.041100 0.000000 0.000000,0.045200 0.000000 0.000000,0.049300 0.000000 0.000000,0.053400 0.000000 0.000000,0.057500 0.000000 0.000000,0.061600 0.000000 0.000000,0.065700 0.000000 0.000000,0.069800 0.000000 0.000000,0.073900 0.000000 0.000000,0.080100 0.000000 0.000000,
0.000100 0.000000 0.000000,0.004190 0.000258 0.000000,0.008221 0.000991 0.000000,0.012139 0.002191 0.000000,0.015890 0.003840 0.000000,0.019423 0.005917 0.000000,0.022688 0.008392 0.000000,0.025642 0.011232 0.000000,0.028244 0.014398 0.000000,0.030458 0.017846 0.000000,0.032254 0.021529 0.000000,0.033607 0.025397 0.000000,0.034499 0.029396 0.000000,0.034917 0.033473 0.000000,0.034856 0.037570 0.000000,0.034316 0.041632 0.000000,0.033305 0.045603 0.000000,0.031838 0.049429 0.000000,0.029933 0.053057 0.000000,0.026282 0.058057 0.000000,
0.000100 0.000001 0.000000,0.004158 0.000513 0.000000,0.007987 0.001954 0.000000,0.011376 0.004245 0.000000,0.014141 0.007260 0.000000,0.016131 0.010834 0.000000,0.017236 0.014772 0.000000,0.017397 0.018860 0.000000,0.016605 0.022873 0.000000,0.014903 0.026592 0.000000,0.012383 0.029815 0.000000,0.009185 0.032365 0.000000,0.005481 0.034103 0.000000,0.001476 0.034933 0.000000,-0.002613 0.034811 0.000000,-0.006562 0.033743 0.000000,-0.010155 0.031788 0.000000,-0.013196 0.029052 0.000000,-0.015518 0.025685 0.000000,-0.017397 0.019810 0.000000,
0.000100 0.000001 0.000000,0.004107 0.000765 0.000000,0.007605 0.002863 0.000000,0.010168 0.006036 0.000000,0.011482 0.009897 0.000000,0.011386 0.013975 0.000000,0.009892 0.017771 0.000000,0.007183 0.020820 0.000000,0.003590 0.022751 0.000000,-0.000448 0.023327 0.000000,-0.004437 0.022477 0.000000,-0.007891 0.020306 0.000000,-0.010385 0.017079 0.000000,-0.011617 0.013190 0.000000,-0.011434 0.009115 0.000000,-0.009860 0.005352 0.000000,-0.007087 0.002361 0.000000,-0.003454 0.000507 0.000000,0.000596 0.000018 0.000000,0.006410 0.001952 0.000000,
0.000100 0.000001 0.000000,0.004035 0.001012 0.000000,0.007089 0.003691 0.000000,0.008604 0.007460 0.000000,0.008254 0.011508 0.000000,0.006114 0.014961 0.000000,0.002644 0.017075 0.000000,-0.001406 0.017394 0.000000,-0.005163 0.015850 0.000000,-0.007819 0.012776 0.000000,-0.008800 0.008833 0.000000,-0.007894 0.004873 0.000000,-0.005298 0.001748 0.000000,-0.001570 0.000133 0.000000,0.002485 0.000375 0.000000,0.005994 0.002423 0.000000,0.008200 0.005834 0.000000,0.008627 0.009874 0.000000,0.007184 0.013672 0.000000,0.002240 0.017195 0.000000,
0.000100 0.000001 0.000000,0.003944 0.001251 0.000000,0.006456 0.004417 0.000000,0.006800 0.008444 0.000000,0.004860 0.011990 0.000000,0.001283 0.013872 0.000000,-0.002738 0.013463 0.000000,-0.005863 0.010900 0.000000,-0.007050 0.007037 0.000000,-0.005903 0.003161 0.000000,-0.002806 0.000565 0.000000,0.001211 0.000114 0.000000,0.004807 0.001959 0.000000,0.006784 0.005484 0.000000,0.006483 0.009515 0.000000,0.004004 0.012707 0.000000,0.000173 0.013996 0.000000,-0.003731 0.012954 0.000000,-0.006409 0.009926 0.000000,-0.006340 0.003927 0.000000,
0.000100 0.000002 0.000000,0.003834 0.001481 0.000000,0.005727 0.005023 0.000000,0.004882 0.008949 0.000000,0.001699 0.011398 0.000000,-0.002313 0.011210 0.000000,-0.005252 0.008473 0.000000,-0.005725 0.004484 0.000000,-0.003508 0.001136 0.000000,0.000348 0.000013 0.000000,0.004015 0.001650 0.000000,0.005756 0.005269 0.000000,0.004745 0.009156 0.000000,0.001460 0.011468 0.000000,-0.002540 0.011109 0.000000,-0.005360 0.008249 0.000000,-0.005663 0.004244 0.000000,-0.003306 0.000993 0.000000,0.000595 0.000036 0.000000,0.005329 0.003577 0.000000,
0.000100 0.000002 0.000000,0.003706 0.001700 0.000000,0.004925 0.005495 0.000000,0.002982 0.008975 0.000000,-0.000888 0.009929 0.000000,-0.004226 0.007750 0.000000,-0.004910 0.003823 0.000000,-0.002505 0.000644 0.000000,0.001460 0.000233 0.000000,0.004465 0.002852 0.000000,0.004601 0.006836 0.000000,0.001780 0.009653 0.000000,-0.002203 0.009512 0.000000,-0.004818 0.006504 0.000000,-0.004403 0.002540 0.000000,-0.001221 0.000139 0.000000,0.002705 0.000827 0.000000,0.004880 0.004168 0.000000,0.003922 0.008037 0.000000,-0.001633 0.009743 0.000000,
0.000100 -0.000000 0.000000,0.004190 -0.000258 0.000000,0.008221 -0.000991 0.000000,0.012139 -0.002191 0.000000,0.015890 -0.003840 0.000000,0.019423 -0.005917 0.000000,0.022688 -0.008392 0.000000,0.025642 -0.011232 0.000000,0.028244 -0.014398 0.000000,0.030458 -0.017846 0.000000,0.032254 -0.021529 0.000000,0.033607 -0.025397 0.000000,0.034499 -0.029396 0.000000,0.034917 -0.033473 0.000000,0.034856 -0.037570 0.000000,0.034316 -0.041632 0.000000,0.033305 -0.045603 0.000000,0.031838 -0.049429 0.000000,0.029933 -0.053057 0.000000,0.026282 -0.058057 0.000000,
0.000100 -0.000001 0.000000,0.004158 -0.000513 0.000000,0.007987 -0.001954 0.000000,0.011376 -0.004245 0.000000,0.014141 -0.007260 0.000000,0.016131 -0.010834 0.000000,0.017236 -0.014772 0.000000,0.017397 -0.018860 0.000000,0.016605 -0.022873 0.000000,0.014903 -0.026592 0.000000,0.012383 -0.029815 0.000000,0.009185 -0.032365 0.000000,0.005481 -0.034103 0.000000,0.001476 -0.034933 0.000000,-0.002613 -0.034811 0.000000,-0.006562 -0.033743 0.000000,-0.010155 -0.031788 0.000000,-0.013196 -0.029052 0.000000,-0.015518 -0.025685 0.000000,-0.017397 -0.019810 0.000000,
0.000100 -0.000001 0.000000,0.004107 -0.000765 0.000000,0.007605 -0.002863 0.000000,0.010168 -0.006036 0.000000,0.011482 -0.009897 0.000000,0.011386 -0.013975 0.000000,0.009892 -0.017771 0.000000,0.007183 -0.020820 0.000000,0.003590 -0.022751 0.000000,-0.000448 -0.023327 0.000000,-0.004437 -0.022477 0.000000,-0.007891 -0.020306 0.000000,-0.010385 -0.017079 0.000000,-0.011617 -0.013190 0.000000,-0.011434 -0.009115 0.000000,-0.009860 -0.005352 0.000000,-0.007087 -0.002361 0.000000,-0.003454 -0.000507 0.000000,0.000596 -0.000018 0.000000,0.006410 -0.001952 0.000000,
0.000100 -0.000001 0.000000,0.004035 -0.001012 0.000000,0.007089 -0.003691 0.000000,0.008604 -0.007460 0.000000,0.008254 -0.011508 0.000000,0.006114 -0.014961 0.000000,0.002644 -0.017075 0.000000,-0.001406 -0.017394 0.000000,-0.005163 -0.015850 0.000000,-0.007819 -0.012776 0.000000,-0.008800 -0.008833 0.000000,-0.007894 -0.004873 0.000000,-0.005298 -0.001748 0.000000,-0.001570 -0.000133 0.000000,0.002485 -0.000375 0.000000,0.005994 -0.002423 0.000000,0.008200 -0.005834 0.000000,0.008627 -0.009874 0.000000,0.007184 -0.013672 0.000000,0.002240 -0.017195 0.000000,
0.000100 -0.000001 0.000000,0.003944 -0.001251 0.000000,0.006456 -0.004417 0.000000,0.006800 -0.008444 0.000000,0.004860 -0.011990 0.000000,0.001283 -0.013872 0.000000,-0.002738 -0.013463 0.000000,-0.005863 -0.010900 0.000000,-0.007050 -0.007037 0.000000,-0.005903 -0.003161 0.000000,-0.002806 -0.000565 0.000000,0.001211 -0.000114 0.000000,0.004807 -0.001959 0.000000,0.006784 -0.005484 0.000000,0.006483 -0.009515 0.000000,0.004004 -0.012707 0.000000,0.000173 -0.013996 0.000000,-0.003731 -0.012954 0.000000,-0.006409 -0.009926 0.000000,-0.006340 -0.003927 0.000000,
0.000100 -0.000002 0.000000,0.003834 -0.001481 0.000000,0.005727 -0.005023 0.000000,0.004882 -0.008949 0.000000,0.001699 -0.011398 0.000000,-0.002313 -0.011210 0.000000,-0.005252 -0.008473 0.000000,-0.005725 -0.004484 0.000000,-0.003508 -0.001136 0.000000,0.000348 -0.000013 0.000000,0.004015 -0.001650 0.000000,0.005756 -0.005269 0.000000,0.004745 -0.009156 0.000000,0.001460 -0.011468 0.000000,-0.002540 -0.011109 0.000000,-0.005360 -0.008249 0.000000,-0.005663 -0.004244 0.000000,-0.003306 -0.000993 0.000000,0.000595 -0.000036 0.000000,0.005329 -0.003577 0.000000,
0.000100 -0.000002 0.000000,0.003706 -0.001700 0.000000,0.004925 -0.005495 0.000000,0.002982 -0.008975 0.000000,-0.000888 -0.009929 0.000000,-0.004226 -0.007750 0.000000,-0.004910 -0.003823 0.000000,-0.002505 -0.000644 0.000000,0.001460 -0.000233 0.000000,0.004465 -0.002852 0.000000,0.004601 -0.006836 0.000000,0.001780 -0.009653 0.000000,-0.002203 -0.009512 0.000000,-0.004818 -0.006504 0.000000,-0.004403 -0.002540 0.000000,-0.001221 -0.000139 0.000000,0.002705 -0.000827 0.000000,0.004880 -0.004168 0.000000,0.003922 -0.008037 0.000000,-0.001633 -0.009743 0.000000,
0.001325 0.000000 0.000000,0.055650 0.000000 0.000000,0.109975 0.000000 0.000000,0.164300 0.000000 0.000000,0.218625 0.000000 0.000000,0.272950 0.000000 0.000000,0.327275 0.000000 0.000000,0.381600 0.000000 0.000000,0.435925 0.000000 0.000000,0.490250 0.000000 0.000000,0.544575 0.000000 0.000000,0.598900 0.000000 0.000000,0.653225 0.000000 0.000000,0.707550 0.000000 0.000000,0.761875 0.000000 0.000000,0.816200 0.000000 0.000000,0.870525 0.000000 0.000000,0.924850 0.000000 0.000000,0.979175 0.000000 0.000000,1.061325 0.000000 0.000000,
0.001325 0.000004 0.000000,0.055512 0.003414 0.000000,0.108929 0.013135 0.000000,0.160843 0.029031 0.000000,0.210544 0.050887 0.000000,0.257350 0.078401 0.000000,0.300619 0.111197 0.000000,0.339759 0.148826 0.000000,0.374233 0.190771 0.000000,0.403568 0.236457 0.000000,0.427363 0.285260 0.000000,0.445290 0.336508 0.000000,0.457105 0.389501 0.000000,0.462646 0.443512 0.000000,0.461836 0.497800 0.000000,0.454687 0.551621 0.000000,0.441296 0.604238 0.000000,0.421848 0.654929 0.000000,0.396608 0.703000 0.000000,0.348231 0.769262 0.000000,
0.001325 0.000008 0.000000,0.055098 0.006803 0.000000,0.105825 0.025897 0.000000,0.150733 0.056245 0.000000,0.187369 0.096189 0.000000,0.213731 0.143547 0.000000,0.228379 0.195731 0.000000,0.230512 0.249890 0.000000,0.220014 0.303065 0.000000,0.197458 0.352350 0.000000,0.164078 0.395052 0.000000,0.121696 0.428838 0.000000,0.072628 0.451862 0.000000,0.019556 0.462867 0.000000,-0.034621 0.461250 0.000000,-0.086942 0.447100 0.000000,-0.134549 0.421190 0.000000,-0.174841 0.384937 0.000000,-0.205615 0.340320 0.000000,-0.230509 0.262483 0.000000,
0.001325 0.000011 0.000000,0.054413 0.010143 0.000000,0.100769 0.037930 0.000000,0.134726 0.079976 0.000000,0.152134 0.131142 0.000000,0.150864 0.185173 0.000000,0.131073 0.235465 0.000000,0.095179 0.275870 0.000000,0.047569 0.301449 0.000000,-0.005936 0.309076 0.000000,-0.058797 0.297818 0.000000,-0.104551 0.269052 0.000000,-0.137607 0.226293 0.000000,-0.153923 0.174769 0.000000,-0.151505 0.120777 0.000000,-0.130648 0.070917 0.000000,-0.093903 0.031285 0.000000,-0.045760 0.006723 0.000000,0.007895 0.000236 0.000000,0.084932 0.025859 0.000000,
0.001325 0.000015 0.000000,0.053462 0.013407 0.000000,0.093932 0.048902 0.000000,0.114009 0.098847 0.000000,0.109367 0.152476 0.000000,0.081006 0.198228 0.000000,0.035039 0.226241 0.000000,-0.018624 0.230475 0.000000,-0.068415 0.210017 0.000000,-0.103600 0.169279 0.000000,-0.116595 0.117041 0.000000,-0.104599 0.064566 0.000000,-0.070196 0.023164 0.000000,-0.020804 0.001761 0.000000,0.032930 0.004971 0.000000,0.079422 0.032102 0.000000,0.108650 0.077306 0.000000,0.114314 0.130836 0.000000,0.095192 0.181155 0.000000,0.029678 0.227834 0.000000,
0.001325 0.000019 0.000000,0.052254 0.016574 0.000000,0.085543 0.058523 0.000000,0.090093 0.111881 0.000000,0.064389 0.158862 0.000000,0.016999 0.183802 0.000000,-0.036279 0.178388 0.000000,-0.077683 0.144425 0.000000,-0.093412 0.093235 0.000000,-0.078221 0.041882 0.000000,-0.037175 0.007487 0.000000,0.016043 0.001514 0.000000,0.063692 0.025956 0.000000,0.089888 0.072664 0.000000,0.085897 0.126068 0.000000,0.053050 0.168364 0.000000,0.002298 0.185452 0.000000,-0.049442 0.171636 0.000000,-0.084920 0.131522 0.000000,-0.084000 0.052036 0.000000,
0.001325 0.000023 0.000000,0.050799 0.019620 0.000000,0.075881 0.066553 0.000000,0.064680 0.118575 0.000000,0.022507 0.151028 0.000000,-0.030648 0.148529 0.000000,-0.069591 0.112262 0.000000,-0.075861 0.059419 0.000000,-0.046487 0.015046 0.000000,0.004608 0.000177 0.000000,0.053205 0.021860 0.000000,0.076268 0.069817 0.000000,0.062866 0.121316 0.000000,0.019351 0.151946 0.000000,-0.033650 0.147190 0.000000,-0.071015 0.109300 0.000000,-0.075033 0.056238 0.000000,-0.043799 0.013154 0.000000,0.007882 0.000471 0.000000,0.070614 0.047392 0.000000,
