0.01,0
0.01,0.285714
0.01,0.571429
0.01,0.857143
0.01,1.14286
0.01,1.42857
0.01,1.71429
0.01,2
0.01,-0.285714
0.01,-0.571429
0.01,-0.857143
0.01,-1.14286
0.01,-1.42857
0.01,-1.71429
0.01,-2
0.1325,0
0.1325,0.285714
0.1325,0.571429
0.1325,0.857143
0.1325,1.14286
0.1325,1.42857
0.1325,1.71429
0.1325,2
0.1325,-0.285714
0.1325,-0.571429
0.1325,-0.857143
0.1325,-1.14286
0.1325,-1.42857
0.1325,-1.71429
0.1325,-2
0.255,0
0.255,0.285714
0.255,0.571429
0.255,0.857143
0.255,1.14286
0.255,1.42857
0.255,1.71429
0.255,2
0.255,-0.285714
0.255,-0.571429
0.255,-0.857143
0.255,-1.14286
0.255,-1.42857
0.255,-1.71429
0.255,-2
0.3775,0
0.3775,0.285714
0.3775,0.571429
0.3775,0.857143
0.3775,1.14286
0.3775,1.42857
0.3775,1.71429
0.3775,2
0.3775,-0.285714
0.3775,-0.571429
0.3775,-0.857143
0.3775,-1.14286
0.3775,-1.42857
0.3775,-1.71429
0.3775,-2
0.5,0
0.5,0.285714
0.5,0.571429
0.5,0.857143
0.5,1.14286
0.5,1.42857
0.5,1.71429
0.5,2
0.5,-0.285714
0.5,-0.571429
0.5,-0.857143
0.5,-1.14286
0.5,-1.42857
0.5,-1.71429
0.5,-2
0,0.6
