#{"t_start": 1681267480.3165634, "env_id": "TurtleBot3tentabot_drl-v00"}
r,l,t
-11.434536,34,41.82055
-11.882503,41,50.342853
-10.280175,21,55.183115
-9.26746,18,59.492715
-11.873505,46,68.525096
-10.550141,15,72.619092
-11.889229,27,78.508046
-7.341039,108,98.304361
-13.405739,88,114.55355
-11.788928,23,119.750551
-11.068646,41,128.267012
-10.485914,22,133.244632
-10.525445,42,141.727751
-15.589376,41,150.005963
-12.157143,30,156.339438
-10.349781,28,162.555544
-11.9981,41,170.995356
-9.487767,27,176.773984
-27.671679,140,201.943857
-9.92923,58,213.351606
-8.742869,23,218.783342
-13.913996,61,230.339755
-7.591837,50,243.154167
-10.280531,22,248.419948
-9.174286,33,255.475691
-15.002683,95,272.756104
-10.214441,94,290.427132
-9.975151,46,299.911157
-9.874755,14,303.577106
-10.072858,18,307.950954
-9.650896,18,312.303152
-10.390016,21,317.395798
-11.083382,27,323.388251
-8.367501,18,327.897834
-7.540256,58,339.395877
-15.10337,71,352.673107
-8.120616,104,371.769036
-9.371011,15,375.676501
-11.025618,88,392.210896
-9.929882,50,402.005229
-12.842166,131,425.361163
-9.474407,31,431.81723
-13.303241,37,440.277169
-9.028528,11,443.428663
35.614178,103,462.692877
-12.106982,25,468.215365
-9.709921,10,471.160865
-10.628589,21,476.013075
-10.835931,31,482.442729
-10.933771,31,489.026502
-9.112537,101,507.865556
-9.086902,41,516.171932
-8.53684,26,522.167434
-13.28657,69,535.394343
-10.31685,27,541.262506
-12.462165,46,550.299278
-9.351054,11,553.755308
-9.196104,19,558.344962
-11.662288,74,572.010532
-9.614226,19,576.548782
-9.160103,15,580.727323
-9.95742,14,584.46032
-10.595502,196,619.358062
-8.029564,23,624.462827
-11.541871,41,632.626395
-13.325039,35,640.863281
-9.409355,22,645.894922
-11.543075,98,664.027777
-9.883178,18,668.424085
-7.72546,69,681.500964
-25.050902,117,702.52068
-10.830096,43,711.025403
-11.224344,45,720.333873
-8.263999,18,724.850054
-10.718744,24,730.219636
-9.995804,30,736.701302
-7.63123,29,742.947398
-8.063741,63,754.789003
-8.718479,16,758.8343
-10.025666,15,762.887445
-10.629357,22,768.131875
-10.861673,23,773.53143
-15.599853,70,786.599706
-13.670105,129,809.382409
-10.683863,18,813.797852
-9.246774,22,818.885761
-10.897172,94,836.003063
-18.134004,119,858.286607
-9.598102,11,861.658969
-10.459122,23,866.863941
-8.468662,21,871.978215
-10.823847,22,876.945441
-9.035576,38,884.793504
-9.343239,35,892.177419
-18.791939,77,906.60612
-9.175646,123,928.622309
-10.491406,45,937.435338
-11.354016,30,943.774732
-13.678339,37,951.455754
-11.413833,81,966.281263
-11.201571,37,973.759015
-8.44226,35,981.102086
-8.269154,39,989.047365
-10.487205,14,992.752121
-9.367536,11,996.118498
-9.205289,26,1002.031208
-11.100145,17,1006.18233
-9.979732,38,1013.783137
-9.523819,28,1020.048154
-9.431727,30,1026.919369
-10.047926,14,1030.760935
-10.186171,40,1039.049692
-10.143137,18,1043.363656
-7.331964,58,1055.704608
-12.066176,38,1063.545418
-13.830154,85,1079.183339
-8.688695,15,1083.102877
-10.799442,36,1090.442626
-10.659733,27,1096.219296
29.653591,67,1109.018823
-9.559772,33,1115.854871
-10.31941,13,1119.553781
-11.179073,41,1127.902626
31.404215,21,1132.927019
-10.847635,26,1138.618858
-9.604391,26,1144.387626
28.813612,140,1168.996754
-9.784244,34,1176.075109
-10.004564,19,1180.807569
-10.561992,23,1186.053144
-14.886348,43,1195.005125
-8.738577,50,1204.896661
-10.77019,22,1210.170964
-8.863579,34,1217.251655
-16.114506,65,1230.053752
-10.789163,41,1238.281093
-8.964997,23,1243.754911
-9.092566,37,1252.160101
-9.738844,77,1266.445716
-9.345845,15,1270.653586
-13.962393,54,1281.314419
-9.302182,16,1285.430098
-12.674536,57,1296.618636
-10.24014,11,1299.777503
-9.891879,21,1304.695687
-12.666113,35,1311.955363
-10.063631,17,1316.207488
-14.821416,49,1325.947989
-10.631349,82,1341.498991
-8.362719,43,1350.463768
-9.94729,17,1354.879137
-10.908931,127,1377.660216
-8.718751,18,1382.161692
-10.446551,35,1389.535815
-10.857421,92,1406.303919
-18.891975,57,1417.333808
-9.963276,31,1423.81963
-9.783382,165,1454.05695
-10.805189,26,1459.848153
-6.666703,34,1466.96236
-9.256143,60,1478.794664
-12.164286,45,1487.946664
-9.610531,31,1494.679549
-10.607586,96,1512.326003
-8.4192,23,1517.848916
-13.155312,50,1527.573665
-19.607439,58,1538.613381
