0.000100 0.000000 0.000000,0.004200 0.000000 0.000000,0.008300 0.000000 0.000000,0.012400 0.000000 0.000000,0.016500 0.000000 0.000000,0.020600 0.000000 0.000000,0.024700 0.000000 0.000000,0.028800 0.000000 0.000000,0.032900 0.000000 0.000000,0.037000 0.000000 0.000000,0.041100 0.000000 0.000000,0.045200 0.000000 0.000000,0.049300 0.000000 0.000000,0.053400 0.000000 0.000000,0.057500 0.000000 0.000000,0.061600 0.000000 0.000000,0.065700 0.000000 0.000000,0.069800 0.000000 0.000000,0.073900 0.000000 0.000000,0.080100 0.000000 0.000000,
0.000100 0.000000 0.000000,0.004198 0.000103 0.000000,0.008287 0.000398 0.000000,0.012358 0.000884 0.000000,0.016401 0.001560 0.000000,0.020409 0.002425 0.000000,0.024371 0.003477 0.000000,0.028280 0.004713 0.000000,0.032127 0.006131 0.000000,0.035903 0.007728 0.000000,0.039600 0.009499 0.000000,0.043210 0.011442 0.000000,0.046725 0.013552 0.000000,0.050137 0.015824 0.000000,0.053440 0.018253 0.000000,0.056624 0.020835 0.000000,0.059685 0.023562 0.000000,0.062614 0.026431 0.000000,0.065406 0.029433 0.000000,0.069353 0.034213 0.000000,
0.000100 0.000000 0.000000,0.004193 0.000206 0.000000,0.008249 0.000794 0.000000,0.012233 0.001760 0.000000,0.016108 0.003093 0.000000,0.019842 0.004784 0.000000,0.023401 0.006816 0.000000,0.026754 0.009172 0.000000,0.029872 0.011832 0.000000,0.032728 0.014773 0.000000,0.035295 0.017967 0.000000,0.037553 0.021388 0.000000,0.039481 0.025005 0.000000,0.041061 0.028786 0.000000,0.042281 0.032699 0.000000,0.043130 0.036708 0.000000,0.043599 0.040780 0.000000,0.043685 0.044878 0.000000,0.043388 0.048965 0.000000,0.042216 0.055048 0.000000,
0.000100 0.000000 0.000000,0.004185 0.000309 0.000000,0.008186 0.001187 0.000000,0.012025 0.002617 0.000000,0.015626 0.004571 0.000000,0.018918 0.007010 0.000000,0.021835 0.009886 0.000000,0.024320 0.013142 0.000000,0.026325 0.016715 0.000000,0.027810 0.020533 0.000000,0.028744 0.024522 0.000000,0.029111 0.028602 0.000000,0.028903 0.032693 0.000000,0.028123 0.036715 0.000000,0.026788 0.040588 0.000000,0.024923 0.044235 0.000000,0.022565 0.047585 0.000000,0.019761 0.050572 0.000000,0.016567 0.053137 0.000000,0.011136 0.056103 0.000000,
0.000100 0.000000 0.000000,0.004173 0.000412 0.000000,0.008099 0.001574 0.000000,0.011739 0.003448 0.000000,0.014966 0.005968 0.000000,0.017667 0.009044 0.000000,0.019747 0.012570 0.000000,0.021134 0.016422 0.000000,0.021780 0.020465 0.000000,0.021660 0.024557 0.000000,0.020780 0.028555 0.000000,0.019170 0.032320 0.000000,0.016888 0.035718 0.000000,0.014012 0.038632 0.000000,0.010643 0.040958 0.000000,0.006900 0.042617 0.000000,0.002913 0.043548 0.000000,-0.001177 0.043721 0.000000,-0.005228 0.043128 0.000000,-0.010965 0.040832 0.000000,
0.000100 0.000001 0.000000,0.004158 0.000513 0.000000,0.007987 0.001954 0.000000,0.011376 0.004245 0.000000,0.014141 0.007260 0.000000,0.016131 0.010834 0.000000,0.017236 0.014772 0.000000,0.017397 0.018860 0.000000,0.016605 0.022873 0.000000,0.014903 0.026592 0.000000,0.012383 0.029815 0.000000,0.009185 0.032365 0.000000,0.005481 0.034103 0.000000,0.001476 0.034933 0.000000,-0.002613 0.034811 0.000000,-0.006562 0.033743 0.000000,-0.010155 0.031788 0.000000,-0.013196 0.029052 0.000000,-0.015518 0.025685 0.000000,-0.017397 0.019810 0.000000,
0.000100 0.000001 0.000000,0.004140 0.000615 0.000000,0.007851 0.002326 0.000000,0.010942 0.004999 0.000000,0.013169 0.008425 0.000000,0.014359 0.012335 0.000000,0.014417 0.016421 0.000000,0.013339 0.020363 0.000000,0.011210 0.023851 0.000000,0.008197 0.026611 0.000000,0.004536 0.028427 0.000000,0.000515 0.029156 0.000000,-0.003551 0.028740 0.000000,-0.007341 0.027213 0.000000,-0.010559 0.024694 0.000000,-0.012952 0.021382 0.000000,-0.014332 0.017535 0.000000,-0.014590 0.013457 0.000000,-0.013706 0.009467 0.000000,-0.010380 0.004290 0.000000,
0.000100 0.000001 0.000000,0.004119 0.000715 0.000000,0.007693 0.002687 0.000000,0.010441 0.005704 0.000000,0.012071 0.009446 0.000000,0.012409 0.013514 0.000000,0.011418 0.017473 0.000000,0.009204 0.020903 0.000000,0.006004 0.023436 0.000000,0.002158 0.024803 0.000000,-0.001923 0.024859 0.000000,-0.005805 0.023597 0.000000,-0.009073 0.021151 0.000000,-0.011379 0.017783 0.000000,-0.012477 0.013852 0.000000,-0.012250 0.009777 0.000000,-0.010722 0.005992 0.000000,-0.008057 0.002901 0.000000,-0.004537 0.000833 0.000000,0.001556 0.000103 0.000000,
0.000100 -0.000000 0.000000,0.004198 -0.000103 0.000000,0.008287 -0.000398 0.000000,0.012358 -0.000884 0.000000,0.016401 -0.001560 0.000000,0.020409 -0.002425 0.000000,0.024371 -0.003477 0.000000,0.028280 -0.004713 0.000000,0.032127 -0.006131 0.000000,0.035903 -0.007728 0.000000,0.039600 -0.009499 0.000000,0.043210 -0.011442 0.000000,0.046725 -0.013552 0.000000,0.050137 -0.015824 0.000000,0.053440 -0.018253 0.000000,0.056624 -0.020835 0.000000,0.059685 -0.023562 0.000000,0.062614 -0.026431 0.000000,0.065406 -0.029433 0.000000,0.069353 -0.034213 0.000000,
0.000100 -0.000000 0.000000,0.004193 -0.000206 0.000000,0.008249 -0.000794 0.000000,0.012233 -0.001760 0.000000,0.016108 -0.003093 0.000000,0.019842 -0.004784 0.000000,0.023401 -0.006816 0.000000,0.026754 -0.009172 0.000000,0.029872 -0.011832 0.000000,0.032728 -0.014773 0.000000,0.035295 -0.017967 0.000000,0.037553 -0.021388 0.000000,0.039481 -0.025005 0.000000,0.041061 -0.028786 0.000000,0.042281 -0.032699 0.000000,0.043130 -0.036708 0.000000,0.043599 -0.040780 0.000000,0.043685 -0.044878 0.000000,0.043388 -0.048965 0.000000,0.042216 -0.055048 0.000000,
