#{"t_start": 1681312383.9773507, "env_id": "TurtleBot3tentabot_drl-v00"}
r,l,t
34.758096,126,56.718493
-5.271146,70,70.341107
-5.904164,48,80.039295
-6.88461,28,86.299226
-3.184601,73,100.398791
38.633779,126,123.52352
-7.436016,33,130.577368
-2.931869,76,145.267022
37.991107,100,163.973868
37.755322,115,184.896459
-5.590371,68,197.982427
37.665208,112,218.898957
33.682982,145,248.276388
34.500894,98,266.433699
37.997387,106,286.080212
38.984557,118,307.587243
-5.459246,75,321.900668
24.258918,103,341.122117
38.016938,100,359.557025
34.897874,139,384.662526
37.630297,112,405.163898
-8.353733,60,417.816232
38.25314,137,442.839211
-0.514431,125,465.599042
-4.92746,60,477.517659
38.072654,123,500.320169
-9.725831,25,506.046099
38.308651,126,529.468431
35.619686,128,552.73206
-7.599163,18,557.286982
-9.817605,65,569.872355
38.495279,106,589.430035
-6.596933,57,601.56727
38.947378,162,631.083603
38.363029,94,649.240967
34.886519,139,674.695227
-4.301331,145,700.882499
38.77603,103,720.078457
35.913853,110,740.418967
39.423863,115,761.795237
-3.261521,138,787.654457
38.686043,112,808.244522
28.214866,185,841.410975
36.836772,134,865.862066
38.566304,115,886.784863
36.368638,131,910.494414
33.28218,112,930.998419
-3.163176,70,944.397371
39.06417,126,967.630427
38.915997,103,987.645586
38.449383,134,1012.265041
38.36425,134,1036.97708
-4.734759,61,1048.946596
34.315687,99,1067.474665
36.031189,140,1093.020096
38.681331,97,1110.945641
38.925535,117,1132.343961
-6.510453,66,1145.080327
37.80211,99,1164.259969
-8.877496,70,1177.616447
-2.435076,90,1194.734536
38.026035,140,1220.072709
-4.034455,64,1232.517314
-11.9272,51,1242.565506
38.462836,109,1262.531107
38.476877,126,1285.784505
-9.070674,70,1299.239102
38.716668,115,1320.486284
38.356111,125,1344.195683
30.713775,171,1375.030935
38.545614,125,1397.881476
38.520001,94,1415.600476
36.900237,139,1441.088809
-14.480607,87,1457.182438
-12.914757,30,1463.500607
38.566094,118,1485.16721
28.96588,160,1513.855151
38.572905,108,1534.731939
37.679325,137,1559.80411
38.382129,113,1580.511067
28.686748,196,1615.715901
-5.195034,54,1626.435735
38.342367,141,1651.916482
38.26394,126,1675.013055
31.623412,135,1699.487
38.674052,104,1719.780574
-6.8794,28,1726.282341
38.347744,103,1745.540455
38.655139,120,1767.890638
38.434287,125,1790.909241
35.87671,116,1812.094613
38.617566,115,1833.347055
38.028633,125,1856.226443
-9.621894,73,1870.290862
35.533206,119,1892.228737
-7.531479,78,1907.628018
-2.315181,83,1923.498602
36.135309,151,1950.724335
38.237458,105,1970.368093
38.456182,95,1988.101017
-4.404616,64,2000.83359
-3.989751,84,2016.910008
38.959764,101,2035.599643
37.153544,143,2061.646236
38.354832,105,2081.324173
-6.219816,97,2100.304579
38.68377,103,2119.460905
38.924099,98,2137.47692
37.150263,114,2158.365474
37.861441,94,2175.917167
-2.207467,122,2198.298914
38.958676,102,2217.286047
-10.645449,115,2238.252748
-9.762927,11,2241.670212
38.72374,120,2264.016233
-4.504515,57,2276.044315
37.553214,144,2302.541406
-9.899972,10,2305.817555
-11.476177,53,2316.271557
38.238603,120,2338.288174
38.005712,110,2358.708657
-12.059649,86,2374.952743
-12.252308,26,2380.738987
39.075703,122,2403.117822
-5.31551,52,2413.670093
38.165365,121,2435.67602
38.966535,136,2460.583654
38.867525,105,2480.874767
38.645191,94,2498.468176
36.748847,117,2520.285783
35.750513,158,2549.044113
-11.61571,99,2567.577508
38.012746,101,2586.497934
-5.847825,45,2595.67923
-9.547351,10,2598.830192
-11.656478,34,2605.857459
37.713795,94,2623.609135
38.729131,93,2640.9363
35.84846,140,2667.108993
38.019085,114,2688.24613
34.157528,133,2712.34933
39.320525,99,2730.721434
33.143774,143,2756.989678
36.737411,107,2776.914424
38.739115,106,2796.585763
38.61695,110,2816.899535
-8.593286,120,2839.743283
37.965392,120,2861.708604
-5.894726,42,2870.239042
-4.070453,84,2886.034987
-6.288508,65,2898.790706
38.559962,121,2921.08468
35.165382,127,2944.586086
35.571229,118,2966.394437
-3.002843,62,2978.729606
37.863344,146,3005.291005
-7.450245,76,3019.789531
38.335004,111,3041.107522
-6.796966,57,3052.526012
-2.043161,84,3068.595014
38.484207,157,3096.919369
-6.763559,27,3103.116003
-9.009992,19,3107.683239
38.65998,121,3130.083608
-5.218818,58,3141.482126
36.532588,103,3160.940174
38.068398,113,3181.903945
-4.249363,108,3201.880259
39.002435,142,3228.719863
-3.631522,126,3251.773247
-5.130913,60,3263.613955
38.680331,106,3283.517788
-5.299401,65,3296.354124
37.336657,128,3319.934942
36.576817,163,3349.72186
38.649216,113,3370.734303
-6.421322,47,3380.292983
-4.635401,77,3395.019868
37.167824,122,3418.134964
36.023557,134,3442.271737
36.211021,129,3465.899
-8.340451,22,3470.912153
-12.419227,72,3484.553536
38.767286,112,3505.281722
39.190291,125,3527.84385
-5.754451,42,3536.624508
38.539599,114,3557.509147
-7.835894,90,3574.520501
38.895947,111,3595.949758
37.80043,162,3625.249378
34.640658,154,3652.884915
38.634798,114,3673.776923
35.515349,107,3693.323413
38.185272,170,3723.893355
38.831075,99,3742.418437
-7.172326,73,3756.387516
38.263116,97,3775.315112
